Sentence,Tags
The patient was diagnosed with Type 2 Diabetes Mellitus and requires insulin therapy.,"[('The', 'O'), ('patient', 'O'), ('was', 'O'), ('diagnosed', 'O'), ('with', 'O'), ('Type', 'O'), ('2', 'O'), ('Diabetes', 'B'), ('Mellitus', 'I'), ('and', 'O'), ('requires', 'O'), ('insulin', 'O'), ('therapy.', 'O')]"
"Rheumatoid arthritis is a chronic inflammatory disorder affecting many joints, including those in the hands and feet.","[('Rheumatoid', 'B'), ('arthritis', 'I'), ('is', 'O'), ('a', 'O'), ('chronic', 'O'), ('inflammatory', 'O'), ('disorder', 'O'), ('affecting', 'O'), ('many', 'O'), ('joints,', 'O'), ('including', 'O'), ('those', 'O'), ('in', 'O'), ('the', 'O'), ('hands', 'O'), ('and', 'O'), ('feet.', 'O')]"
"Due to a severe asthma attack, the patient was admitted to the emergency room.","[('Due', 'O'), ('to', 'O'), ('a', 'O'), ('severe', 'O'), ('asthma', 'B'), ('attack,', 'O'), ('the', 'O'), ('patient', 'O'), ('was', 'O'), ('admitted', 'O'), ('to', 'O'), ('the', 'O'), ('emergency', 'O'), ('room.', 'O')]"
Early detection of breast cancer can significantly increase the chances of survival.,"[('Early', 'O'), ('detection', 'O'), ('of', 'O'), ('breast', 'O'), ('cancer', 'B'), ('can', 'O'), ('significantly', 'O'), ('increase', 'O'), ('the', 'O'), ('chances', 'O'), ('of', 'O'), ('survival.', 'O')]"
Cystic fibrosis is a genetic disorder that affects the lungs and digestive system.,"[('Cystic', 'O'), ('fibrosis', 'B'), ('is', 'O'), ('a', 'O'), ('genetic', 'O'), ('disorder', 'O'), ('that', 'O'), ('affects', 'O'), ('the', 'O'), ('lungs', 'O'), ('and', 'O'), ('digestive', 'O'), ('system.', 'O')]"
The spread of malaria is prevented by controlling the mosquito population.,"[('The', 'O'), ('spread', 'O'), ('of', 'O'), ('malaria', 'B'), ('is', 'O'), ('prevented', 'O'), ('by', 'O'), ('controlling', 'O'), ('the', 'O'), ('mosquito', 'O'), ('population.', 'O')]"
Alzheimer's disease is a progressive neurologic disorder that causes the brain to shrink.,"[(""Alzheimer's"", 'B'), ('disease', 'I'), ('is', 'O'), ('a', 'O'), ('progressive', 'O'), ('neurologic', 'O'), ('disorder', 'O'), ('that', 'O'), ('causes', 'O'), ('the', 'O'), ('brain', 'O'), ('to', 'O'), ('shrink.', 'O')]"
"Tuberculosis remains a major global health problem, leading to millions of deaths each year.","[('Tuberculosis', 'B'), ('remains', 'O'), ('a', 'O'), ('major', 'O'), ('global', 'O'), ('health', 'O'), ('problem,', 'O'), ('leading', 'O'), ('to', 'O'), ('millions', 'O'), ('of', 'O'), ('deaths', 'O'), ('each', 'O'), ('year.', 'O')]"
"Hepatitis C is a viral infection that causes liver inflammation, sometimes leading to serious liver damage.","[('Hepatitis', 'B'), ('C', 'O'), ('is', 'O'), ('a', 'O'), ('viral', 'O'), ('infection', 'O'), ('that', 'O'), ('causes', 'O'), ('liver', 'O'), ('inflammation,', 'O'), ('sometimes', 'O'), ('leading', 'O'), ('to', 'O'), ('serious', 'O'), ('liver', 'O'), ('damage.', 'O')]"
"Osteoporosis is a condition that weakens bones, making them fragile and more likely to break.","[('Osteoporosis', 'B'), ('is', 'O'), ('a', 'O'), ('condition', 'O'), ('that', 'O'), ('weakens', 'O'), ('bones,', 'O'), ('making', 'O'), ('them', 'O'), ('fragile', 'O'), ('and', 'O'), ('more', 'O'), ('likely', 'O'), ('to', 'O'), ('break.', 'O')]"
Multiple sclerosis is a disease in which the immune system eats away at the protective covering of nerves.,"[('Multiple', 'O'), ('sclerosis', 'B'), ('is', 'O'), ('a', 'O'), ('disease', 'B'), ('in', 'O'), ('which', 'O'), ('the', 'O'), ('immune', 'O'), ('system', 'O'), ('eats', 'O'), ('away', 'O'), ('at', 'O'), ('the', 'O'), ('protective', 'O'), ('covering', 'O'), ('of', 'O'), ('nerves.', 'O')]"
"Parkinson's disease is a brain disorder that leads to shaking, stiffness, and difficulty with walking, balance, and coordination.","[(""Parkinson's"", 'B'), ('disease', 'I'), ('is', 'O'), ('a', 'O'), ('brain', 'O'), ('disorder', 'O'), ('that', 'O'), ('leads', 'O'), ('to', 'O'), ('shaking,', 'O'), ('stiffness,', 'O'), ('and', 'O'), ('difficulty', 'O'), ('with', 'O'), ('walking,', 'O'), ('balance,', 'O'), ('and', 'O'), ('coordination.', 'O')]"
"The patient showed symptoms of dengue fever, including high fever, severe headache, and joint pain.","[('The', 'O'), ('patient', 'O'), ('showed', 'O'), ('symptoms', 'O'), ('of', 'O'), ('dengue', 'B'), ('fever,', 'O'), ('including', 'O'), ('high', 'O'), ('fever,', 'O'), ('severe', 'O'), ('headache,', 'O'), ('and', 'O'), ('joint', 'O'), ('pain.', 'O')]"
"Cholera is an infectious disease that causes severe watery diarrhea, which can lead to dehydration and even death if untreated.","[('Cholera', 'B'), ('is', 'O'), ('an', 'O'), ('infectious', 'O'), ('disease', 'B'), ('that', 'O'), ('causes', 'O'), ('severe', 'O'), ('watery', 'O'), ('diarrhea,', 'O'), ('which', 'O'), ('can', 'O'), ('lead', 'O'), ('to', 'O'), ('dehydration', 'O'), ('and', 'O'), ('even', 'O'), ('death', 'O'), ('if', 'O'), ('untreated.', 'O')]"
The measles outbreak has prompted health officials to urge the public to get vaccinated.,"[('The', 'O'), ('measles', 'B'), ('outbreak', 'O'), ('has', 'O'), ('prompted', 'O'), ('health', 'O'), ('officials', 'O'), ('to', 'O'), ('urge', 'O'), ('the', 'O'), ('public', 'O'), ('to', 'O'), ('get', 'O'), ('vaccinated.', 'O')]"
Leukemia is a type of cancer that affects the blood and bone marrow.,"[('Leukemia', 'B'), ('is', 'O'), ('a', 'O'), ('type', 'O'), ('of', 'O'), ('cancer', 'B'), ('that', 'O'), ('affects', 'O'), ('the', 'O'), ('blood', 'O'), ('and', 'O'), ('bone', 'O'), ('marrow.', 'O')]"
"The child was born with congenital heart disease, requiring immediate surgery.","[('The', 'O'), ('child', 'O'), ('was', 'O'), ('born', 'O'), ('with', 'O'), ('congenital', 'B'), ('heart', 'I'), ('disease,', 'O'), ('requiring', 'O'), ('immediate', 'O'), ('surgery.', 'O')]"
"Ebola virus disease is a severe, often fatal illness in humans.","[('Ebola', 'B'), ('virus', 'I'), ('disease', 'I'), ('is', 'O'), ('a', 'O'), ('severe,', 'O'), ('often', 'O'), ('fatal', 'O'), ('illness', 'O'), ('in', 'O'), ('humans.', 'O')]"
Zika virus is primarily transmitted through the bites of infected Aedes mosquitoes.,"[('Zika', 'B'), ('virus', 'I'), ('is', 'O'), ('primarily', 'O'), ('transmitted', 'O'), ('through', 'O'), ('the', 'O'), ('bites', 'O'), ('of', 'O'), ('infected', 'O'), ('Aedes', 'O'), ('mosquitoes.', 'O')]"
Lyme disease is caused by the bacterium Borrelia burgdorferi and is transmitted to humans through the bite of infected blacklegged ticks.,"[('Lyme', 'B'), ('disease', 'I'), ('is', 'O'), ('caused', 'O'), ('by', 'O'), ('the', 'O'), ('bacterium', 'O'), ('Borrelia', 'O'), ('burgdorferi', 'O'), ('and', 'O'), ('is', 'O'), ('transmitted', 'O'), ('to', 'O'), ('humans', 'O'), ('through', 'O'), ('the', 'O'), ('bite', 'O'), ('of', 'O'), ('infected', 'O'), ('blacklegged', 'O'), ('ticks.', 'O')]"
Acute myeloid leukemia presents a challenge in blood cell production and function.,"[('Acute', 'O'), ('myeloid', 'O'), ('leukemia', 'O'), ('presents', 'O'), ('a', 'O'), ('challenge', 'O'), ('in', 'O'), ('blood', 'O'), ('cell', 'O'), ('production', 'O'), ('and', 'O'), ('function.', 'O')]"
The incidence of skin cancer increases with excessive exposure to ultraviolet radiation.,"[('The', 'O'), ('incidence', 'O'), ('of', 'O'), ('skin', 'O'), ('cancer', 'B'), ('increases', 'O'), ('with', 'O'), ('excessive', 'O'), ('exposure', 'O'), ('to', 'O'), ('ultraviolet', 'O'), ('radiation.', 'O')]"
Glaucoma can lead to vision loss if not treated timely.,"[('Glaucoma', 'O'), ('can', 'O'), ('lead', 'O'), ('to', 'O'), ('vision', 'O'), ('loss', 'O'), ('if', 'O'), ('not', 'O'), ('treated', 'O'), ('timely.', 'O')]"
Huntington's disease is a hereditary condition that causes the degeneration of brain cells.,"[(""Huntington's"", 'O'), ('disease', 'B'), ('is', 'O'), ('a', 'O'), ('hereditary', 'O'), ('condition', 'O'), ('that', 'O'), ('causes', 'O'), ('the', 'O'), ('degeneration', 'O'), ('of', 'O'), ('brain', 'O'), ('cells.', 'O')]"
Sickle cell anemia is a genetic blood disorder that affects hemoglobin.,"[('Sickle', 'O'), ('cell', 'O'), ('anemia', 'O'), ('is', 'O'), ('a', 'O'), ('genetic', 'O'), ('blood', 'O'), ('disorder', 'O'), ('that', 'O'), ('affects', 'O'), ('hemoglobin.', 'O')]"
"The human immunodeficiency virus (HIV) attacks the immune system, leading to acquired immunodeficiency syndrome (AIDS).","[('The', 'O'), ('human', 'O'), ('immunodeficiency', 'O'), ('virus', 'B'), ('(HIV)', 'O'), ('attacks', 'O'), ('the', 'O'), ('immune', 'O'), ('system,', 'O'), ('leading', 'O'), ('to', 'O'), ('acquired', 'O'), ('immunodeficiency', 'O'), ('syndrome', 'O'), ('(AIDS).', 'O')]"
Pneumonia is an infection that inflames the air sacs in one or both lungs.,"[('Pneumonia', 'O'), ('is', 'O'), ('an', 'O'), ('infection', 'O'), ('that', 'O'), ('inflames', 'O'), ('the', 'O'), ('air', 'O'), ('sacs', 'O'), ('in', 'O'), ('one', 'O'), ('or', 'O'), ('both', 'O'), ('lungs.', 'O')]"
"Schizophrenia is a serious mental disorder that affects how a person thinks, feels, and behaves.","[('Schizophrenia', 'O'), ('is', 'O'), ('a', 'O'), ('serious', 'O'), ('mental', 'O'), ('disorder', 'O'), ('that', 'O'), ('affects', 'O'), ('how', 'O'), ('a', 'O'), ('person', 'O'), ('thinks,', 'O'), ('feels,', 'O'), ('and', 'O'), ('behaves.', 'O')]"
The Ebola virus can cause severe viral hemorrhagic fever outbreaks.,"[('The', 'O'), ('Ebola', 'B'), ('virus', 'I'), ('can', 'O'), ('cause', 'O'), ('severe', 'O'), ('viral', 'O'), ('hemorrhagic', 'O'), ('fever', 'B'), ('outbreaks.', 'O')]"
