Sentence,Tags
"Identification of APC2 , a homologue of the adenomatous polyposis coli tumour suppressor .","(('Identification', 'O'), ('of', 'O'), ('APC2', 'O'), (',', 'O'), ('a', 'O'), ('homologue', 'O'), ('of', 'O'), ('the', 'O'), ('adenomatous', 'B'), ('polyposis', 'I'), ('coli', 'I'), ('tumour', 'I'), ('suppressor', 'O'), ('.', 'O'))"
"The adenomatous polyposis coli ( APC ) tumour - suppressor protein controls the Wnt signalling pathway by forming a complex with glycogen synthase kinase 3beta ( GSK - 3beta ) , axin / conductin and betacatenin .","(('The', 'O'), ('adenomatous', 'B'), ('polyposis', 'I'), ('coli', 'I'), ('(', 'I'), ('APC', 'I'), (')', 'I'), ('tumour', 'I'), ('-', 'O'), ('suppressor', 'O'), ('protein', 'O'), ('controls', 'O'), ('the', 'O'), ('Wnt', 'O'), ('signalling', 'O'), ('pathway', 'O'), ('by', 'O'), ('forming', 'O'), ('a', 'O'), ('complex', 'O'), ('with', 'O'), ('glycogen', 'O'), ('synthase', 'O'), ('kinase', 'O'), ('3beta', 'O'), ('(', 'O'), ('GSK', 'O'), ('-', 'O'), ('3beta', 'O'), (')', 'O'), (',', 'O'), ('axin', 'O'), ('/', 'O'), ('conductin', 'O'), ('and', 'O'), ('betacatenin', 'O'), ('.', 'O'))"
Complex formation induces the rapid degradation of betacatenin .,"(('Complex', 'O'), ('formation', 'O'), ('induces', 'O'), ('the', 'O'), ('rapid', 'O'), ('degradation', 'O'), ('of', 'O'), ('betacatenin', 'O'), ('.', 'O'))"
"In colon carcinoma cells , loss of APC leads to the accumulation of betacatenin in the nucleus , where it binds to and activates the Tcf - 4 transcription factor ( reviewed in [ 1 ] [ 2 ] ) .","(('In', 'O'), ('colon', 'B'), ('carcinoma', 'I'), ('cells', 'O'), (',', 'O'), ('loss', 'O'), ('of', 'O'), ('APC', 'O'), ('leads', 'O'), ('to', 'O'), ('the', 'O'), ('accumulation', 'O'), ('of', 'O'), ('betacatenin', 'O'), ('in', 'O'), ('the', 'O'), ('nucleus', 'O'), (',', 'O'), ('where', 'O'), ('it', 'O'), ('binds', 'O'), ('to', 'O'), ('and', 'O'), ('activates', 'O'), ('the', 'O'), ('Tcf', 'O'), ('-', 'O'), ('4', 'O'), ('transcription', 'O'), ('factor', 'O'), ('(', 'O'), ('reviewed', 'O'), ('in', 'O'), ('[', 'O'), ('1', 'O'), (']', 'O'), ('[', 'O'), ('2', 'O'), (']', 'O'), (')', 'O'), ('.', 'O'))"
"Here , we report the identification and genomic structure of APC homologues .","(('Here', 'O'), (',', 'O'), ('we', 'O'), ('report', 'O'), ('the', 'O'), ('identification', 'O'), ('and', 'O'), ('genomic', 'O'), ('structure', 'O'), ('of', 'O'), ('APC', 'O'), ('homologues', 'O'), ('.', 'O'))"
"Mammalian APC2 , which closely resembles APC in overall domain structure , was functionally analyzed and shown to contain two SAMP domains , both of which are required for binding to conductin .","(('Mammalian', 'O'), ('APC2', 'O'), (',', 'O'), ('which', 'O'), ('closely', 'O'), ('resembles', 'O'), ('APC', 'O'), ('in', 'O'), ('overall', 'O'), ('domain', 'O'), ('structure', 'O'), (',', 'O'), ('was', 'O'), ('functionally', 'O'), ('analyzed', 'O'), ('and', 'O'), ('shown', 'O'), ('to', 'O'), ('contain', 'O'), ('two', 'O'), ('SAMP', 'O'), ('domains', 'O'), (',', 'O'), ('both', 'O'), ('of', 'O'), ('which', 'O'), ('are', 'O'), ('required', 'O'), ('for', 'O'), ('binding', 'O'), ('to', 'O'), ('conductin', 'O'), ('.', 'O'))"
"Like APC , APC2 regulates the formation of active betacatenin - Tcf complexes , as demonstrated using transient transcriptional activation assays in APC - / - colon carcinoma cells .","(('Like', 'O'), ('APC', 'O'), (',', 'O'), ('APC2', 'O'), ('regulates', 'O'), ('the', 'O'), ('formation', 'O'), ('of', 'O'), ('active', 'O'), ('betacatenin', 'O'), ('-', 'O'), ('Tcf', 'O'), ('complexes', 'O'), (',', 'O'), ('as', 'O'), ('demonstrated', 'O'), ('using', 'O'), ('transient', 'O'), ('transcriptional', 'O'), ('activation', 'O'), ('assays', 'O'), ('in', 'O'), ('APC', 'O'), ('-', 'O'), ('/', 'O'), ('-', 'O'), ('colon', 'B'), ('carcinoma', 'I'), ('cells', 'O'), ('.', 'O'))"
Human APC2 maps to chromosome 19p13 .,"(('Human', 'O'), ('APC2', 'O'), ('maps', 'O'), ('to', 'O'), ('chromosome', 'O'), ('19p13', 'O'), ('.', 'O'))"
3 .,"(('3', 'O'), ('.', 'O'))"
APC and APC2 may therefore have comparable functions in development and cancer .,"(('APC', 'O'), ('and', 'O'), ('APC2', 'O'), ('may', 'O'), ('therefore', 'O'), ('have', 'O'), ('comparable', 'O'), ('functions', 'O'), ('in', 'O'), ('development', 'O'), ('and', 'O'), ('cancer', 'B'), ('.', 'O'))"
"A common MSH2 mutation in English and North American HNPCC families : origin , phenotypic expression , and sex specific differences in colorectal cancer .","(('A', 'O'), ('common', 'O'), ('MSH2', 'O'), ('mutation', 'O'), ('in', 'O'), ('English', 'O'), ('and', 'O'), ('North', 'O'), ('American', 'O'), ('HNPCC', 'B'), ('families', 'O'), (':', 'O'), ('origin', 'O'), (',', 'O'), ('phenotypic', 'O'), ('expression', 'O'), (',', 'O'), ('and', 'O'), ('sex', 'O'), ('specific', 'O'), ('differences', 'O'), ('in', 'O'), ('colorectal', 'B'), ('cancer', 'I'), ('.', 'O'))"
"The frequency , origin , and phenotypic expression of a germline MSH2 gene mutation previously identified in seven kindreds with hereditary non - polyposis cancer syndrome ( HNPCC ) was investigated .","(('The', 'O'), ('frequency', 'O'), (',', 'O'), ('origin', 'O'), (',', 'O'), ('and', 'O'), ('phenotypic', 'O'), ('expression', 'O'), ('of', 'O'), ('a', 'O'), ('germline', 'O'), ('MSH2', 'O'), ('gene', 'O'), ('mutation', 'O'), ('previously', 'O'), ('identified', 'O'), ('in', 'O'), ('seven', 'O'), ('kindreds', 'O'), ('with', 'O'), ('hereditary', 'B'), ('non', 'I'), ('-', 'I'), ('polyposis', 'I'), ('cancer', 'I'), ('syndrome', 'I'), ('(', 'O'), ('HNPCC', 'B'), (')', 'O'), ('was', 'O'), ('investigated', 'O'), ('.', 'O'))"
The mutation ( A - - > T at nt943 + 3 ) disrupts the 3 splice site of exon 5 leading to the deletion of this exon from MSH2 mRNA and represents the only frequent MSH2 mutation so far reported .,"(('The', 'O'), ('mutation', 'O'), ('(', 'O'), ('A', 'O'), ('-', 'O'), ('-', 'O'), ('>', 'O'), ('T', 'O'), ('at', 'O'), ('nt943', 'O'), ('+', 'O'), ('3', 'O'), (')', 'O'), ('disrupts', 'O'), ('the', 'O'), ('3', 'O'), ('splice', 'O'), ('site', 'O'), ('of', 'O'), ('exon', 'O'), ('5', 'O'), ('leading', 'O'), ('to', 'O'), ('the', 'O'), ('deletion', 'O'), ('of', 'O'), ('this', 'O'), ('exon', 'O'), ('from', 'O'), ('MSH2', 'O'), ('mRNA', 'O'), ('and', 'O'), ('represents', 'O'), ('the', 'O'), ('only', 'O'), ('frequent', 'O'), ('MSH2', 'O'), ('mutation', 'O'), ('so', 'O'), ('far', 'O'), ('reported', 'O'), ('.', 'O'))"
"Although this mutation was initially detected in four of 33 colorectal cancer families analysed from eastern England , more extensive analysis has reduced the frequency to four of 52 ( 8 % ) English HNPCC kindreds analysed .","(('Although', 'O'), ('this', 'O'), ('mutation', 'O'), ('was', 'O'), ('initially', 'O'), ('detected', 'O'), ('in', 'O'), ('four', 'O'), ('of', 'O'), ('33', 'O'), ('colorectal', 'B'), ('cancer', 'I'), ('families', 'O'), ('analysed', 'O'), ('from', 'O'), ('eastern', 'O'), ('England', 'O'), (',', 'O'), ('more', 'O'), ('extensive', 'O'), ('analysis', 'O'), ('has', 'O'), ('reduced', 'O'), ('the', 'O'), ('frequency', 'O'), ('to', 'O'), ('four', 'O'), ('of', 'O'), ('52', 'O'), ('(', 'O'), ('8', 'O'), ('%', 'O'), (')', 'O'), ('English', 'O'), ('HNPCC', 'B'), ('kindreds', 'O'), ('analysed', 'O'), ('.', 'O'))"
"In contrast , the MSH2 mutation was identified in 10 of 20 ( 50 % ) separately identified colorectal families from Newfoundland .","(('In', 'O'), ('contrast', 'O'), (',', 'O'), ('the', 'O'), ('MSH2', 'O'), ('mutation', 'O'), ('was', 'O'), ('identified', 'O'), ('in', 'O'), ('10', 'O'), ('of', 'O'), ('20', 'O'), ('(', 'O'), ('50', 'O'), ('%', 'O'), (')', 'O'), ('separately', 'O'), ('identified', 'O'), ('colorectal', 'B'), ('families', 'O'), ('from', 'O'), ('Newfoundland', 'O'), ('.', 'O'))"
