Data,Sentence,Gold,Pred,FP,FN,Overlap
BC5,"2 , a region proposed to contain tumor suppressor gene ( s ) , is mutated at high frequency in human breast cancer .",['tumor'],['-'],[],['tumor'],[]
BC5,BACKGROUND Allelic loss of chromosome 18q predicts a poor outcome in patients with stage II colorectal cancer .,"['stage', 'II', 'colorectal']","['-', '-', 'colorectal']",[],"['stage', 'II']",['colorectal']
BC5,Chromosome 3p deletion was detected in 98 per cent of non - papillary renal cell carcinomas and in 25 per cent of chromophobe renal cell carcinomas .,"['non', '-*', 'papillary', '-', 'renal']","['-', '-', 'papillary', 'chromophobe', 'renal']",['chromophobe'],"['non', '-']","['papillary', 'renal']"
BC5,Definition of the genetic events that trigger apoptosis in the prostate could provide important insights into critical pathways in normal development as well as elucidate the perturbations of those key pathways in neoplastic transformation .,['-'],['neoplastic'],['neoplastic'],[],[]
BC5,Exon PCR and sequencing revealed a heterozygous point mutation at the 3 splice acceptor site of intron 1 in one Irish family .,['-'],['Irish'],['Irish'],[],[]
BC5,"Furthermore , the complemented hybrids undergo programmed cell death in vitro via a mechanism that does not require nuclear localization of p53 .",['-'],['death'],['death'],[],[]
BC5,"In 22 of the 43 non - papillary renal cell carcinomas , abnormally migrating DNA bands were detected by SSCP and / or HD analysis .","['non', '-*', 'papillary']","['-', '-', 'papillary']",[],"['non', '-']",['papillary']
BC5,In order to test this possibility we have analyzed four heterozygotes for class I G6PD mutations two with G6PD Portici ( 1178G - - > A ) and two with G6PD Bari ( 1187C - - > T ) .,['-'],['Portici'],['Portici'],[],[]
BC5,"In preliminary screens , mutations of PTEN were detected in 31 % ( 13 / 42 ) of glioblastoma cell lines and xenografts , 100 % ( 4 / 4 ) of prostate cancer cell lines , 6 % ( 4 / 65 ) of breast cancer cell lines and xenografts , and 17 % ( 3 / 18 ) of primary glioblastomas .","['primary', 'glioblastomas']","['-', 'glioblastomas']",[],['primary'],['glioblastomas']
BC5,"In the other Irish family , exons 7 and 8 failed to amplify and they were shown to be deleted .",['-'],['Irish'],['Irish'],[],[]
BC5,"In the present study , leukocyte DNA from 143 patients with familial clustering of breast and / or ovarian cancer and tumour DNA from 96 breast carcinomas were screened for base mutations in the estrogen receptor gene ( ESR ) .",['tumour'],['-'],[],['tumour'],[]
BC5,"In yeast , mutations in several genes , including RTH and MSH3 , cause microsatellite instability .",['-'],['microsatellite'],['microsatellite'],[],[]
BC5,"Mapping of homozygous deletions on human chromosome 10q23 has led to the isolation of a candidate tumor suppressor gene , PTEN , that appears to be mutated at considerable frequency in human cancers .",['tumor'],['-'],[],['tumor'],[]
BC5,"Marker haplotype studies of the C6 and C7 gene region and Southern blots show that the Irish family with the splice defect also segregate for the deletion , which is not easily detected in heterozygotes .",['-'],['Irish'],['Irish'],[],[]
BC5,"Mice doubly null for atm and p53 exhibited a dramatic acceleration of tumour formation relative to singly null mice , indicating that both genes collaborate in a significant manner to prevent tumorigenesis .",['-'],['tumorigenesis'],['tumorigenesis'],[],[]
BC5,Microcell hybrids containing only the region 10pter - q11 were suppressed for tumorigenicity following injection of microcell hybrids into nude mice .,['-'],['tumorigenicity'],['tumorigenicity'],[],[]
BC5,"The I66M mutation in the wild - type GALC cDNA ( I289 ) had normal activity , but when this mutation and the V289 polymorphism were introduced into the same allele , it had decreased activity .",['-'],['GALC'],['GALC'],[],[]
BC5,The cDNA of mouse HGO has an overall identity of 41 % to the corresponding gene hmgA from Aspergillus .,['-'],['Aspergillus'],['Aspergillus'],[],[]
BC5,"The findings suggest that both HDL concentration and the dynamics of cholesterol transport through HDL ( i . e . , reverse cholesterol transport ) determine the anti - atherogenicity of the HDL fraction .",['-'],['atherogenicity'],['atherogenicity'],[],[]
BC5,"The homozygous mutant ( ATM - / - ) mice are viable , growth - retarded , and infertile .","['-', '-', '-', '-']","['growth', '-', 'retarded', 'infertile']","['growth', '-', 'retarded', 'infertile']",[],[]
BC5,"The losses invariably involved the wild type allele derived from the unaffected parent , suggesting the inactivation of a tumor suppressor gene in this region",['tumor'],['-'],[],['tumor'],[]
BC5,"The most common variant of GALT , the Duarte variant , occurs as two types , Duarte - 1 ( D - 1 ) and Duarte - 2 ( D - 2 ) , both of which carry the sequence change N314D .",['-'],['GALT'],['GALT'],[],[]
BC5,The tumor suppressor gene Brca1 is required for embryonic cellular proliferation in the mouse .,['tumor'],['-'],[],['tumor'],[]
BC5,The variable penetrance of BRCA1 suggests that other genetic and non - genetic factors play a role in tumourigenesis in these individuals .,['-'],['tumourigenesis'],['tumourigenesis'],[],[]
BC5,"These data functionally define a novel genetic locus , designated PAC1 , for prostate adenocarcinoma 1 , involved in tumor suppression of human prostate carcinoma and furthermore strongly suggest that the cell death pathway can be functionally restored in prostatic adenocarcinoma . .","['-', '-', '-']","['prostate', 'adenocarcinoma', 'tumor']","['prostate', 'adenocarcinoma', 'tumor']",[],[]
BC5,This cellular transformation in vitro will facilitate studies on the mechanism of PAX3 - FKHR - induced oncogenesis . .,['-'],['oncogenesis'],['oncogenesis'],[],[]
BC5,"To begin to address the hypothesis that abnormal regulation of the breast / ovarian cancer susceptibility gene BRCA1 is a critical step in sporadic breast / ovarian tumorigenesis , we have determined the detailed structure of the BRCA1 genomic region .","['-', '-', '-', '-']","['breast', '/', 'ovarian', 'tumorigenesis']","['breast', '/', 'ovarian', 'tumorigenesis']",[],[]
BC5,"To identify possible features of the BRCA1 genomic region that may contribute to chromosomal instability as well as potential transcriptional regulatory elements , a 117 , 143 - bp DNA sequence encompassing BRCA1 was obtained by random sequencing of four cosmids identified from a human chromosome 17 specific library .","['-', '-']","['chromosomal', 'instability']","['chromosomal', 'instability']",[],[]
BC5,We report the functional definition of a novel genetic locus within human chromosome 10pter - q11 that mediates both in vivo tumor suppression and in vitro apoptosis of prostatic adenocarcinoma cells .,['-'],['tumor'],['tumor'],[],[]
NCBI,A 2 year old female presenting with bilateral sporadic aniridia was found to have an apparently balanced reciprocal translocation with a chromosome 11 breakpoint within band p13 .,"['bilateral', 'sporadic', 'aniridia']","['-', '-', 'aniridia']",[],"['bilateral', 'sporadic']",['aniridia']
NCBI,"A population - based series of 54 male breast cancer cases from Southern California were analyzed for germ - line mutations in the inherited breast / ovarian cancer genes , BRCA1 and BRCA2 .","['male', 'breast']","['-', 'breast']",[],['male'],['breast']
NCBI,Alignment of the predicted amino acid sequence of human VLCAD with those of the other human ACD enzymes revealed extensive sequence homology .,['-'],['ACD'],['ACD'],[],[]
NCBI,"Although the DM mutation was identified more than five years ago , the pathogenic mechanisms underlying this most prevalent form of hereditary adult neuromuscular disease remain elusive .","['-', '-', 'neuromuscular']","['hereditary', 'adult', 'neuromuscular']","['hereditary', 'adult']",[],['neuromuscular']
NCBI,"Atm , Acat1 , and Npat , which is a new gene isolated from the AT region , and 12 flanking microsatellite DNA markers were examined .",['-'],['AT'],['AT'],[],[]
NCBI,Atm - deficient fibroblasts grow poorly in culture and display a high level of double - stranded chromosome breaks .,"['-', '-', '-']","['Atm', '-', 'deficient']","['Atm', '-', 'deficient']",[],[]
NCBI,Atm - deficient thymocytes undergo spontaneous apoptosis in vitro significantly more than controls .,"['-', '-', '-']","['Atm', '-', 'deficient']","['Atm', '-', 'deficient']",[],[]
NCBI,"BACKGROUND & AIMS The chromosome region 18q21 has been shown to be frequently deleted in colorectal cancers , and such frequent allelic loss is a hallmark of the presence of a tumor - suppressor gene .",['-'],['tumor'],['tumor'],[],[]
NCBI,"By electrophysiological tests and magnetic resonance imaging it was determined that two patients had cerebral ALD , one had adrenomyeloneuropathy with cerebral involvement , and two had preclinical AMN .",['-'],['involvement'],['involvement'],[],[]
