Sentence,Gold,Pred
3,"('impaired', 'B')","('impaired', 'O')"
17,"('cardiac', 'B')","('cardiac', 'I')"
28,"('tubular', 'O')","('tubular', 'B')"
53,"('thyroid', 'O')","('thyroid', 'B')"
55,"('Affective', 'O')","('Affective', 'B')"
64,"('immune', 'O')","('immune', 'B')"
65,"('immune', 'O')","('immune', 'B')"
66,"('immune', 'O')","('immune', 'B')"
75,"('postoperative', 'O')","('postoperative', 'B')"
76,"('Coagulation', 'O')","('Coagulation', 'B')"
77,"('cerebral', 'O')","('cerebral', 'B')"
93,"('aura', 'O')","('aura', 'B')"
95,"('Aura', 'O')","('Aura', 'B')"
100,"('depression', 'B')","('depression', 'I')"
110,"('decrease', 'O')","('decrease', 'B')"
121,"('not', 'O')","('not', 'B')"
125,"('decompensated', 'O')","('decompensated', 'B')"
139,"('subcapsular', 'O')","('subcapsular', 'I')"
163,"('tetanic', 'B')","('tetanic', 'O')"
164,"('weight', 'O')","('weight', 'B')"
166,"('tetanic', 'B')","('tetanic', 'O')"
181,"('complications', 'O')","('complications', 'I')"
184,"('deficits', 'O')","('deficits', 'B')"
185,"('increase', 'O')","('increase', 'B')"
203,"('-', 'O')","('-', 'I')"
204,"('MM', 'O')","('MM', 'B')"
216,"('deaths', 'O')","('deaths', 'B')"
227,"('field', 'O')","('field', 'B')"
231,"('spasm', 'I')","('spasm', 'B')"
232,"('Coronary', 'O')","('Coronary', 'B')"
241,"('perfusion', 'O')","('perfusion', 'B')"
253,"('LID', 'B')","('LID', 'O')"
254,"('LID', 'B')","('LID', 'O')"
256,"('LID', 'B')","('LID', 'O')"
265,"('disorder', 'O')","('disorder', 'I')"
270,"('syndrome', 'B')","('syndrome', 'O')"
271,"('idiopathic', 'O')","('idiopathic', 'B')"
282,"('ADR', 'O')","('ADR', 'B')"
291,"('MC', 'O')","('MC', 'B')"
304,"('DS', 'O')","('DS', 'B')"
307,"('growth', 'O')","('growth', 'B')"
308,"('growth', 'O')","('growth', 'B')"
323,"('Candida', 'O')","('Candida', 'B')"
324,"('depression', 'B')","('depression', 'O')"
325,"('the', 'I')","('the', 'O')"
339,"('portal', 'O')","('portal', 'B')"
357,"('AIDS', 'B')","('AIDS', 'O')"
360,"('withdrawal', 'O')","('withdrawal', 'B')"
363,"('AIDS', 'B')","('AIDS', 'O')"
375,"('cutaneous', 'O')","('cutaneous', 'B')"
381,"('chronic', 'O')","('chronic', 'B')"
390,"('reduction', 'O')","('reduction', 'B')"
402,"('and', 'I')","('and', 'O')"
407,"('chronic', 'O')","('chronic', 'B')"
413,"('complications', 'O')","('complications', 'I')"
415,"('complications', 'O')","('complications', 'I')"
