Dataset,Sentence,Gold,Pred,Error Class
BC5,"2 , a region proposed to contain tumor suppressor gene ( s ) , is mutated at high frequency in human breast cancer .","[""('tumor', 'B')""]","[""('tumor', 'O')""]",
BC5,BACKGROUND Allelic loss of chromosome 18q predicts a poor outcome in patients with stage II colorectal cancer .,"[""('stage', 'B')"", ""('II', 'I')"", ""('colorectal', 'I')""]","[""('stage', 'O')"", ""('II', 'O')"", ""('colorectal', 'B')""]",
BC5,Chromosome 3p deletion was detected in 98 per cent of non - papillary renal cell carcinomas and in 25 per cent of chromophobe renal cell carcinomas .,"[""('non', 'B')"", ""('-', 'I')"", ""('papillary', 'I')"", ""('chromophobe', 'O')"", ""('renal', 'B')""]","[""('non', 'O')"", ""('-', 'O')"", ""('papillary', 'B')"", ""('chromophobe', 'B')"", ""('renal', 'I')""]",
BC5,Definition of the genetic events that trigger apoptosis in the prostate could provide important insights into critical pathways in normal development as well as elucidate the perturbations of those key pathways in neoplastic transformation .,"[""('neoplastic', 'O')""]","[""('neoplastic', 'B')""]",
BC5,Exon PCR and sequencing revealed a heterozygous point mutation at the 3 splice acceptor site of intron 1 in one Irish family .,"[""('Irish', 'O')""]","[""('Irish', 'B')""]",
BC5,"Furthermore , the complemented hybrids undergo programmed cell death in vitro via a mechanism that does not require nuclear localization of p53 .","[""('death', 'O')""]","[""('death', 'I')""]",
BC5,"In 22 of the 43 non - papillary renal cell carcinomas , abnormally migrating DNA bands were detected by SSCP and / or HD analysis .","[""('non', 'B')"", ""('-', 'I')"", ""('papillary', 'I')""]","[""('non', 'O')"", ""('-', 'O')"", ""('papillary', 'B')""]",
BC5,In order to test this possibility we have analyzed four heterozygotes for class I G6PD mutations two with G6PD Portici ( 1178G - - > A ) and two with G6PD Bari ( 1187C - - > T ) .,"[""('Portici', 'O')""]","[""('Portici', 'B')""]",
BC5,"In preliminary screens , mutations of PTEN were detected in 31 % ( 13 / 42 ) of glioblastoma cell lines and xenografts , 100 % ( 4 / 4 ) of prostate cancer cell lines , 6 % ( 4 / 65 ) of breast cancer cell lines and xenografts , and 17 % ( 3 / 18 ) of primary glioblastomas .","[""('primary', 'B')"", ""('glioblastomas', 'I')""]","[""('primary', 'O')"", ""('glioblastomas', 'B')""]",
BC5,"In the other Irish family , exons 7 and 8 failed to amplify and they were shown to be deleted .","[""('Irish', 'O')""]","[""('Irish', 'B')""]",
BC5,"In the present study , leukocyte DNA from 143 patients with familial clustering of breast and / or ovarian cancer and tumour DNA from 96 breast carcinomas were screened for base mutations in the estrogen receptor gene ( ESR ) .","[""('tumour', 'B')""]","[""('tumour', 'O')""]",
BC5,"In yeast , mutations in several genes , including RTH and MSH3 , cause microsatellite instability .","[""('microsatellite', 'O')""]","[""('microsatellite', 'B')""]",
BC5,"Mapping of homozygous deletions on human chromosome 10q23 has led to the isolation of a candidate tumor suppressor gene , PTEN , that appears to be mutated at considerable frequency in human cancers .","[""('tumor', 'B')""]","[""('tumor', 'O')""]",
BC5,"Marker haplotype studies of the C6 and C7 gene region and Southern blots show that the Irish family with the splice defect also segregate for the deletion , which is not easily detected in heterozygotes .","[""('Irish', 'O')""]","[""('Irish', 'B')""]",
BC5,"Mice doubly null for atm and p53 exhibited a dramatic acceleration of tumour formation relative to singly null mice , indicating that both genes collaborate in a significant manner to prevent tumorigenesis .","[""('tumorigenesis', 'O')""]","[""('tumorigenesis', 'B')""]",
BC5,Microcell hybrids containing only the region 10pter - q11 were suppressed for tumorigenicity following injection of microcell hybrids into nude mice .,"[""('tumorigenicity', 'O')""]","[""('tumorigenicity', 'B')""]",
BC5,"The I66M mutation in the wild - type GALC cDNA ( I289 ) had normal activity , but when this mutation and the V289 polymorphism were introduced into the same allele , it had decreased activity .","[""('GALC', 'O')""]","[""('GALC', 'B')""]",
