Sentence,Gold,Pred
"Individuals who have rare alleles of the VNTR have an increased risk of certain types of cancers , including breast cancer ( 2 - 4 ) .","(('Individuals', 'O'), ('who', 'O'), ('have', 'O'), ('rare', 'O'), ('alleles', 'O'), ('of', 'O'), ('the', 'O'), ('VNTR', 'O'), ('have', 'O'), ('an', 'O'), ('increased', 'O'), ('risk', 'O'), ('of', 'O'), ('certain', 'O'), ('types', 'O'), ('of', 'O'), ('cancers', 'B'), (',', 'O'), ('including', 'O'), ('breast', 'B'), ('cancer', 'I'), ('(', 'O'), ('2', 'O'), ('-', 'O'), ('4', 'O'), (')', 'O'), ('.', 'O'))","(('Individuals', 'O'), ('who', 'O'), ('have', 'O'), ('rare', 'O'), ('alleles', 'O'), ('of', 'O'), ('the', 'O'), ('VNTR', 'O'), ('have', 'O'), ('an', 'O'), ('increased', 'O'), ('risk', 'O'), ('of', 'O'), ('certain', 'O'), ('types', 'O'), ('of', 'O'), ('cancers', 'O'), (',', 'O'), ('including', 'O'), ('breast', 'B'), ('cancer', 'I'), ('(', 'O'), ('2', 'O'), ('-', 'O'), ('4', 'O'), (')', 'O'), ('.', 'O'))"
Type II complement protein C2 deficiency is characterized by a selective block in C2 secretion .,"(('Type', 'B'), ('II', 'I'), ('complement', 'I'), ('protein', 'I'), ('C2', 'I'), ('deficiency', 'I'), ('is', 'O'), ('characterized', 'O'), ('by', 'O'), ('a', 'O'), ('selective', 'O'), ('block', 'O'), ('in', 'O'), ('C2', 'O'), ('secretion', 'O'), ('.', 'O'))","(('Type', 'O'), ('II', 'I'), ('complement', 'I'), ('protein', 'O'), ('C2', 'B'), ('deficiency', 'I'), ('is', 'O'), ('characterized', 'O'), ('by', 'O'), ('a', 'O'), ('selective', 'O'), ('block', 'O'), ('in', 'O'), ('C2', 'O'), ('secretion', 'O'), ('.', 'O'))"
The Type II C2 null allele ( C2Q0 ) is linked to two major histocompatibility haplotypes ( MHC ) that differ from the MHC of the more common Type I C2 deficiency .,"(('The', 'O'), ('Type', 'O'), ('II', 'O'), ('C2', 'O'), ('null', 'O'), ('allele', 'O'), ('(', 'O'), ('C2Q0', 'O'), (')', 'O'), ('is', 'O'), ('linked', 'O'), ('to', 'O'), ('two', 'O'), ('major', 'O'), ('histocompatibility', 'O'), ('haplotypes', 'O'), ('(', 'O'), ('MHC', 'O'), (')', 'O'), ('that', 'O'), ('differ', 'O'), ('from', 'O'), ('the', 'O'), ('MHC', 'O'), ('of', 'O'), ('the', 'O'), ('more', 'O'), ('common', 'O'), ('Type', 'B'), ('I', 'I'), ('C2', 'I'), ('deficiency', 'I'), ('.', 'O'))","(('The', 'O'), ('Type', 'B'), ('II', 'I'), ('C2', 'I'), ('null', 'O'), ('allele', 'O'), ('(', 'O'), ('C2Q0', 'O'), (')', 'O'), ('is', 'O'), ('linked', 'O'), ('to', 'O'), ('two', 'O'), ('major', 'O'), ('histocompatibility', 'O'), ('haplotypes', 'O'), ('(', 'O'), ('MHC', 'O'), (')', 'O'), ('that', 'O'), ('differ', 'O'), ('from', 'O'), ('the', 'O'), ('MHC', 'O'), ('of', 'O'), ('the', 'O'), ('more', 'O'), ('common', 'O'), ('Type', 'B'), ('I', 'I'), ('C2', 'I'), ('deficiency', 'I'), ('.', 'O'))"
"Thus , WASP provides a novel link between CDC42Hs and the actin cytoskeleton , which suggests a molecular mechanism for many of the cellular abnormalities in WAS .","(('Thus', 'O'), (',', 'O'), ('WASP', 'O'), ('provides', 'O'), ('a', 'O'), ('novel', 'O'), ('link', 'O'), ('between', 'O'), ('CDC42Hs', 'O'), ('and', 'O'), ('the', 'O'), ('actin', 'O'), ('cytoskeleton', 'O'), (',', 'O'), ('which', 'O'), ('suggests', 'O'), ('a', 'O'), ('molecular', 'O'), ('mechanism', 'O'), ('for', 'O'), ('many', 'O'), ('of', 'O'), ('the', 'O'), ('cellular', 'O'), ('abnormalities', 'O'), ('in', 'O'), ('WAS', 'B'), ('.', 'O'))","(('Thus', 'O'), (',', 'O'), ('WASP', 'O'), ('provides', 'O'), ('a', 'O'), ('novel', 'O'), ('link', 'O'), ('between', 'O'), ('CDC42Hs', 'O'), ('and', 'O'), ('the', 'O'), ('actin', 'O'), ('cytoskeleton', 'O'), (',', 'O'), ('which', 'O'), ('suggests', 'O'), ('a', 'O'), ('molecular', 'O'), ('mechanism', 'O'), ('for', 'O'), ('many', 'O'), ('of', 'O'), ('the', 'O'), ('cellular', 'B'), ('abnormalities', 'I'), ('in', 'O'), ('WAS', 'B'), ('.', 'O'))"
X - linked adrenoleukodystrophy is a frequent cause of idiopathic Addison ' s disease in young adult male patients .,"(('X', 'B'), ('-', 'I'), ('linked', 'I'), ('adrenoleukodystrophy', 'I'), ('is', 'O'), ('a', 'O'), ('frequent', 'O'), ('cause', 'O'), ('of', 'O'), ('idiopathic', 'O'), ('Addison', 'B'), (""'"", 'I'), ('s', 'I'), ('disease', 'I'), ('in', 'O'), ('young', 'O'), ('adult', 'O'), ('male', 'O'), ('patients', 'O'), ('.', 'O'))","(('X', 'B'), ('-', 'I'), ('linked', 'I'), ('adrenoleukodystrophy', 'I'), ('is', 'O'), ('a', 'O'), ('frequent', 'O'), ('cause', 'O'), ('of', 'O'), ('idiopathic', 'B'), ('Addison', 'I'), (""'"", 'I'), ('s', 'I'), ('disease', 'I'), ('in', 'O'), ('young', 'O'), ('adult', 'O'), ('male', 'O'), ('patients', 'O'), ('.', 'O'))"
"To evaluate this prevalence , we performed biochemical analysis of very long chain fatty acids in 14 male patients ( age ranging from 12 - 45 yr at diagnosis ) previously diagnosed as having primary idiopathic adrenocortical insufficiency .","(('To', 'O'), ('evaluate', 'O'), ('this', 'O'), ('prevalence', 'O'), (',', 'O'), ('we', 'O'), ('performed', 'O'), ('biochemical', 'O'), ('analysis', 'O'), ('of', 'O'), ('very', 'O'), ('long', 'O'), ('chain', 'O'), ('fatty', 'O'), ('acids', 'O'), ('in', 'O'), ('14', 'O'), ('male', 'O'), ('patients', 'O'), ('(', 'O'), ('age', 'O'), ('ranging', 'O'), ('from', 'O'), ('12', 'O'), ('-', 'O'), ('45', 'O'), ('yr', 'O'), ('at', 'O'), ('diagnosis', 'O'), (')', 'O'), ('previously', 'O'), ('diagnosed', 'O'), ('as', 'O'), ('having', 'O'), ('primary', 'O'), ('idiopathic', 'O'), ('adrenocortical', 'B'), ('insufficiency', 'I'), ('.', 'O'))","(('To', 'O'), ('evaluate', 'O'), ('this', 'O'), ('prevalence', 'O'), (',', 'O'), ('we', 'O'), ('performed', 'O'), ('biochemical', 'O'), ('analysis', 'O'), ('of', 'O'), ('very', 'O'), ('long', 'O'), ('chain', 'O'), ('fatty', 'O'), ('acids', 'O'), ('in', 'O'), ('14', 'O'), ('male', 'O'), ('patients', 'O'), ('(', 'O'), ('age', 'O'), ('ranging', 'O'), ('from', 'O'), ('12', 'O'), ('-', 'O'), ('45', 'O'), ('yr', 'O'), ('at', 'O'), ('diagnosis', 'O'), (')', 'O'), ('previously', 'O'), ('diagnosed', 'O'), ('as', 'O'), ('having', 'O'), ('primary', 'B'), ('idiopathic', 'B'), ('adrenocortical', 'I'), ('insufficiency', 'I'), ('.', 'O'))"
"By electrophysiological tests and magnetic resonance imaging it was determined that two patients had cerebral ALD , one had adrenomyeloneuropathy with cerebral involvement , and two had preclinical AMN .","(('By', 'O'), ('electrophysiological', 'O'), ('tests', 'O'), ('and', 'O'), ('magnetic', 'O'), ('resonance', 'O'), ('imaging', 'O'), ('it', 'O'), ('was', 'O'), ('determined', 'O'), ('that', 'O'), ('two', 'O'), ('patients', 'O'), ('had', 'O'), ('cerebral', 'B'), ('ALD', 'I'), (',', 'O'), ('one', 'O'), ('had', 'O'), ('adrenomyeloneuropathy', 'B'), ('with', 'O'), ('cerebral', 'O'), ('involvement', 'O'), (',', 'O'), ('and', 'O'), ('two', 'O'), ('had', 'O'), ('preclinical', 'O'), ('AMN', 'B'), ('.', 'O'))","(('By', 'O'), ('electrophysiological', 'O'), ('tests', 'O'), ('and', 'O'), ('magnetic', 'O'), ('resonance', 'O'), ('imaging', 'O'), ('it', 'O'), ('was', 'O'), ('determined', 'O'), ('that', 'O'), ('two', 'O'), ('patients', 'O'), ('had', 'O'), ('cerebral', 'B'), ('ALD', 'I'), (',', 'O'), ('one', 'O'), ('had', 'O'), ('adrenomyeloneuropathy', 'B'), ('with', 'O'), ('cerebral', 'O'), ('involvement', 'I'), (',', 'O'), ('and', 'O'), ('two', 'O'), ('had', 'O'), ('preclinical', 'O'), ('AMN', 'B'), ('.', 'O'))"
Our data support the hypothesis that ALD is a frequent cause of idiopathic Addisons disease in children and adults . .,"(('Our', 'O'), ('data', 'O'), ('support', 'O'), ('the', 'O'), ('hypothesis', 'O'), ('that', 'O'), ('ALD', 'B'), ('is', 'O'), ('a', 'O'), ('frequent', 'O'), ('cause', 'O'), ('of', 'O'), ('idiopathic', 'O'), ('Addisons', 'B'), ('disease', 'I'), ('in', 'O'), ('children', 'O'), ('and', 'O'), ('adults', 'O'), ('.', 'O'), ('.', 'O'))","(('Our', 'O'), ('data', 'O'), ('support', 'O'), ('the', 'O'), ('hypothesis', 'O'), ('that', 'O'), ('ALD', 'B'), ('is', 'O'), ('a', 'O'), ('frequent', 'O'), ('cause', 'O'), ('of', 'O'), ('idiopathic', 'B'), ('Addisons', 'I'), ('disease', 'I'), ('in', 'O'), ('children', 'O'), ('and', 'O'), ('adults', 'O'), ('.', 'O'), ('.', 'O'))"
Prostate cancer is the second leading cause of male cancer deaths in the United States .,"(('Prostate', 'B'), ('cancer', 'I'), ('is', 'O'), ('the', 'O'), ('second', 'O'), ('leading', 'O'), ('cause', 'O'), ('of', 'O'), ('male', 'O'), ('cancer', 'B'), ('deaths', 'O'), ('in', 'O'), ('the', 'O'), ('United', 'O'), ('States', 'O'), ('.', 'O'))","(('Prostate', 'B'), ('cancer', 'I'), ('is', 'O'), ('the', 'O'), ('second', 'O'), ('leading', 'O'), ('cause', 'O'), ('of', 'O'), ('male', 'B'), ('cancer', 'I'), ('deaths', 'O'), ('in', 'O'), ('the', 'O'), ('United', 'O'), ('States', 'O'), ('.', 'O'))"
"Prostate secretory epithelial cells and androgen - dependent prostate carcinomas undergo apoptosis in response to androgen deprivation and , furthermore , most prostate carcinomas become androgen independent and refractory to further therapeutic manipulations during disease progression .","(('Prostate', 'O'), ('secretory', 'O'), ('epithelial', 'O'), ('cells', 'O'), ('and', 'O'), ('androgen', 'O'), ('-', 'O'), ('dependent', 'O'), ('prostate', 'B'), ('carcinomas', 'I'), ('undergo', 'O'), ('apoptosis', 'O'), ('in', 'O'), ('response', 'O'), ('to', 'O'), ('androgen', 'O'), ('deprivation', 'O'), ('and', 'O'), (',', 'O'), ('furthermore', 'O'), (',', 'O'), ('most', 'O'), ('prostate', 'B'), ('carcinomas', 'I'), ('become', 'O'), ('androgen', 'O'), ('independent', 'O'), ('and', 'O'), ('refractory', 'O'), ('to', 'O'), ('further', 'O'), ('therapeutic', 'O'), ('manipulations', 'O'), ('during', 'O'), ('disease', 'O'), ('progression', 'O'), ('.', 'O'))","(('Prostate', 'O'), ('secretory', 'O'), ('epithelial', 'O'), ('cells', 'O'), ('and', 'O'), ('androgen', 'B'), ('-', 'I'), ('dependent', 'I'), ('prostate', 'I'), ('carcinomas', 'I'), ('undergo', 'O'), ('apoptosis', 'O'), ('in', 'O'), ('response', 'O'), ('to', 'O'), ('androgen', 'O'), ('deprivation', 'O'), ('and', 'O'), (',', 'O'), ('furthermore', 'O'), (',', 'O'), ('most', 'O'), ('prostate', 'B'), ('carcinomas', 'I'), ('become', 'O'), ('androgen', 'O'), ('independent', 'O'), ('and', 'O'), ('refractory', 'O'), ('to', 'O'), ('further', 'O'), ('therapeutic', 'O'), ('manipulations', 'O'), ('during', 'O'), ('disease', 'O'), ('progression', 'O'), ('.', 'O'))"
