Sentence,Gold,Pred
12,"('cancers', 'B')","('cancers', 'O')"
38,"('Type', 'B')","('Type', 'O')"
39,"('Type', 'O')","('Type', 'B')"
57,"('cellular', 'O')","('cellular', 'B')"
59,"('idiopathic', 'O')","('idiopathic', 'B')"
64,"('primary', 'O')","('primary', 'B')"
67,"('involvement', 'O')","('involvement', 'I')"
68,"('idiopathic', 'O')","('idiopathic', 'B')"
69,"('male', 'O')","('male', 'B')"
71,"('androgen', 'O')","('androgen', 'B')"
72,"('neoplastic', 'O')","('neoplastic', 'B')"
76,"('familial', 'O')","('familial', 'B')"
103,"('classic', 'O')","('classic', 'B')"
149,"('scurfy', 'O')","('scurfy', 'B')"
173,"('DM', 'O')","('DM', 'B')"
176,"('fibre', 'O')","('fibre', 'B')"
180,"('progressive', 'B')","('progressive', 'O')"
220,"('developmental', 'B')","('developmental', 'O')"
228,"('GALT', 'O')","('GALT', 'B')"
235,"('breast', 'O')","('breast', 'I')"
255,"('VHL', 'B')","('VHL', 'O')"
277,"('intronic', 'O')","('intronic', 'B')"
288,"('VHL', 'O')","('VHL', 'B')"
289,"('chromophobe', 'O')","('chromophobe', 'B')"
291,"('chromophobe', 'O')","('chromophobe', 'B')"
313,"('AT', 'B')","('AT', 'O')"
317,"('AT', 'B')","('AT', 'O')"
318,"('AT', 'O')","('AT', 'B')"
363,"('LPP', 'O')","('LPP', 'B')"
375,"('sporadic', 'B')","('sporadic', 'O')"
376,"('bilateral', 'B')","('bilateral', 'O')"
379,"('familial', 'B')","('familial', 'O')"
391,"('Classical', 'O')","('Classical', 'B')"
395,"('PAH', 'B')","('PAH', 'O')"
407,"('male', 'B')","('male', 'O')"
427,"('growth', 'O')","('growth', 'B')"
435,"('ACD', 'O')","('ACD', 'B')"
441,"('cardiac', 'O')","('cardiac', 'B')"
446,"('C7', 'O')","('C7', 'B')"
459,"('HPRT', 'B')","('HPRT', 'O')"
461,"('tumor', 'O')","('tumor', 'B')"
462,"('tumor', 'O')","('tumor', 'B')"
466,"('tumor', 'O')","('tumor', 'B')"
467,"('protein', 'O')","('protein', 'I')"
469,"('Atm', 'O')","('Atm', 'B')"
470,"('Atm', 'O')","('Atm', 'B')"
477,"('stage', 'B')","('stage', 'O')"
479,"('and', 'I')","('and', 'O')"
480,"('stage', 'O')","('stage', 'B')"
482,"('disease', 'I')","('disease', 'O')"
485,"('colorectal', 'I')","('colorectal', 'B')"
486,"('colorectal', 'I')","('colorectal', 'B')"
503,"('attenuated', 'O')","('attenuated', 'B')"
506,"('APC', 'B')","('APC', 'O')"
509,"('APC', 'B')","('APC', 'O')"
513,"('sporadic', 'O')","('sporadic', 'B')"
549,"('BRCA1', 'O')","('BRCA1', 'B')"
551,"('BRCA1', 'O')","('BRCA1', 'B')"
562,"('male', 'B')","('male', 'O')"
563,"('male', 'B')","('male', 'O')"
567,"('male', 'B')","('male', 'O')"
568,"('male', 'B')","('male', 'O')"
575,"('LA', 'O')","('LA', 'B')"
576,"('D', 'O')","('D', 'B')"
622,"('cancer', 'I')","('cancer', 'O')"
653,"('AKU', 'O')","('AKU', 'B')"
663,"('childhood', 'O')","('childhood', 'B')"
681,"('haploinsufficiency', 'O')","('haploinsufficiency', 'B')"
689,"('inherited', 'B')","('inherited', 'O')"
706,"('breast', 'B')","('breast', 'I')"
724,"('complete', 'B')","('complete', 'O')"
742,"('classical', 'O')","('classical', 'B')"
754,"('pediatric', 'O')","('pediatric', 'B')"
761,"('acute', 'B')","('acute', 'O')"
762,"('-', 'I')","('-', 'O')"
769,"('acute', 'B')","('acute', 'O')"
772,"('hereditary', 'O')","('hereditary', 'B')"
785,"('CpGs', 'O')","('CpGs', 'B')"
790,"('VHL', 'O')","('VHL', 'B')"
791,"('RCC', 'B')","('RCC', 'O')"
792,"('VHL', 'O')","('VHL', 'B')"
793,"('VHL', 'O')","('VHL', 'B')"
794,"('VHL', 'O')","('VHL', 'B')"
797,"('RCC', 'B')","('RCC', 'O')"
