Sentence,Gold,Pred
3,"('impaired', 'B')","('impaired', 'O')"
4,"('nephrectomized', 'O')","('nephrectomized', 'B')"
6,"('Nx', 'O')","('Nx', 'B')"
9,"('Nx', 'O')","('Nx', 'B')"
10,"('Nx', 'O')","('Nx', 'B')"
12,"('Nx', 'O')","('Nx', 'B')"
13,"('cardiac', 'B')","('cardiac', 'I')"
20,"('tubular', 'O')","('tubular', 'B')"
40,"(',', 'O')","(',', 'I')"
43,"('Affective', 'O')","('Affective', 'B')"
46,"('psychiatric', 'B')","('psychiatric', 'O')"
52,"('immune', 'O')","('immune', 'B')"
53,"('immune', 'O')","('immune', 'B')"
54,"('immune', 'O')","('immune', 'B')"
56,"('surgery', 'O')","('surgery', 'I')"
70,"('decreased', 'B')","('decreased', 'O')"
71,"('decreased', 'B')","('decreased', 'O')"
72,"('decreased', 'B')","('decreased', 'O')"
73,"('decreased', 'B')","('decreased', 'O')"
79,"('vasodilation', 'O')","('vasodilation', 'B')"
80,"('decompensated', 'O')","('decompensated', 'B')"
99,"('posterior', 'O')","('posterior', 'B')"
100,"('JRA', 'O')","('JRA', 'B')"
134,"('psychiatric', 'B')","('psychiatric', 'O')"
153,"('corticosteroid', 'O')","('corticosteroid', 'I')"
155,"('damage', 'B')","('damage', 'O')"
156,"('steroid', 'O')","('steroid', 'B')"
157,"('corticosteroid', 'O')","('corticosteroid', 'B')"
159,"('cyclosporine', 'O')","('cyclosporine', 'B')"
173,"('field', 'O')","('field', 'B')"
179,"('perfusion', 'O')","('perfusion', 'B')"
190,"('seizure', 'B')","('seizure', 'O')"
191,"('seizure', 'B')","('seizure', 'O')"
201,"('ADR', 'O')","('ADR', 'B')"
205,"('ADR', 'O')","('ADR', 'B')"
206,"('ADR', 'O')","('ADR', 'B')"
208,"('ADR', 'O')","('ADR', 'B')"
213,"('MC', 'O')","('MC', 'B')"
215,"('convulsions', 'B')","('convulsions', 'O')"
219,"('convulsions', 'B')","('convulsions', 'O')"
220,"('convulsions', 'B')","('convulsions', 'O')"
221,"('convulsions', 'B')","('convulsions', 'O')"
223,"('DS', 'O')","('DS', 'B')"
238,"('rash', 'B')","('rash', 'O')"
241,"('lithium', 'O')","('lithium', 'B')"
242,"('lithium', 'O')","('lithium', 'B')"
248,"('toxicity', 'B')","('toxicity', 'O')"
249,"('toxicity', 'B')","('toxicity', 'O')"
256,"('seizures', 'B')","('seizures', 'O')"
259,"('toxicity', 'B')","('toxicity', 'O')"
261,"('seizures', 'B')","('seizures', 'O')"
262,"('seizures', 'B')","('seizures', 'O')"
263,"('seizure', 'B')","('seizure', 'O')"
264,"('seizures', 'B')","('seizures', 'O')"
265,"('seizures', 'B')","('seizures', 'O')"
270,"('cutaneous', 'O')","('cutaneous', 'B')"
290,"('mechanical', 'O')","('mechanical', 'B')"
294,"('heparin', 'O')","('heparin', 'B')"
295,"('heparin', 'O')","('heparin', 'B')"
296,"('heparin', 'O')","('heparin', 'B')"
304,"('heparin', 'O')","('heparin', 'B')"
315,"('neuronal', 'O')","('neuronal', 'B')"
317,"('seizures', 'B')","('seizures', 'O')"
318,"('seizures', 'B')","('seizures', 'O')"
328,"('doxorubicin', 'O')","('doxorubicin', 'B')"
329,"('cell', 'O')","('cell', 'B')"
336,"('distal', 'O')","('distal', 'B')"
337,"('toxicity', 'B')","('toxicity', 'O')"
344,"('nigra', 'O')","('nigra', 'I')"
354,"('distal', 'O')","('distal', 'B')"
356,"('limb', 'O')","('limb', 'B')"
362,"('immunocompromised', 'O')","('immunocompromised', 'B')"
363,"('Adenovirus', 'O')","('Adenovirus', 'B')"
364,"('immunocompromised', 'O')","('immunocompromised', 'B')"
365,"('adenovirus', 'O')","('adenovirus', 'B')"
370,"('immunocompromised', 'O')","('immunocompromised', 'B')"
373,"('partial', 'O')","('partial', 'B')"
378,"('immunocompromised', 'O')","('immunocompromised', 'B')"
379,"('infection', 'B')","('infection', 'O')"
380,"('disseminated', 'O')","('disseminated', 'B')"
387,"('toxicity', 'B')","('toxicity', 'O')"
388,"('mechanical', 'O')","('mechanical', 'B')"
389,"('mechanical', 'O')","('mechanical', 'B')"
393,"('mechanical', 'O')","('mechanical', 'B')"
396,"('intolerance', 'O')","('intolerance', 'B')"
397,"('mechanical', 'O')","('mechanical', 'B')"
399,"('mechanical', 'O')","('mechanical', 'B')"
412,"('advanced', 'O')","('advanced', 'B')"
413,"('toxicity', 'B')","('toxicity', 'O')"
431,"('seizures', 'B')","('seizures', 'O')"
438,"('seizures', 'B')","('seizures', 'O')"
442,"('function', 'O')","('function', 'I')"
444,"('Pyeloureteral', 'O')","('Pyeloureteral', 'B')"
445,"('pyeloureteral', 'O')","('pyeloureteral', 'B')"
446,"('infection', 'B')","('infection', 'O')"
463,"('chloroquine', 'O')","('chloroquine', 'B')"
468,"('chloroquine', 'O')","('chloroquine', 'B')"
470,"('generalized', 'O')","('generalized', 'B')"
471,"('seizures', 'B')","('seizures', 'O')"
472,"('inflammation', 'B')","('inflammation', 'O')"
474,"('succinylcholine', 'O')","('succinylcholine', 'B')"
477,"('inflammation', 'B')","('inflammation', 'O')"
479,"('succinylcholine', 'O')","('succinylcholine', 'B')"
485,"('convulsions', 'B')","('convulsions', 'O')"
486,"('convulsions', 'B')","('convulsions', 'O')"
492,"('developmental', 'B')","('developmental', 'O')"
494,"('ASA', 'O')","('ASA', 'B')"
495,"('SD', 'O')","('SD', 'B')"
497,"('malformations', 'B')","('malformations', 'O')"
512,"('radiocontrast', 'O')","('radiocontrast', 'B')"
513,"('radiocontrast', 'O')","('radiocontrast', 'B')"
518,"('radiocontrast', 'O')","('radiocontrast', 'B')"
540,"('impairment', 'O')","('impairment', 'B')"
541,"('drug', 'O')","('drug', 'B')"
542,"('immune', 'O')","('immune', 'B')"
543,"('Immune', 'O')","('Immune', 'B')"
547,"('extravascular', 'O')","('extravascular', 'B')"
548,"('hemolytic', 'O')","('hemolytic', 'B')"
551,"('IFS', 'O')","('IFS', 'B')"
552,"('IFS', 'O')","('IFS', 'B')"
557,"('seizure', 'B')","('seizure', 'O')"
563,"('mitochondrial', 'B')","('mitochondrial', 'O')"
590,"('acute', 'O')","('acute', 'B')"
595,"('toxicity', 'I')","('toxicity', 'O')"
596,"('dilevalol', 'O')","('dilevalol', 'B')"
597,"('dilevalol', 'O')","('dilevalol', 'B')"
620,"('warfarin', 'O')","('warfarin', 'B')"
624,"('excessive', 'O')","('excessive', 'B')"
631,"('infections', 'B')","('infections', 'O')"
644,"('ethambutol', 'O')","('ethambutol', 'B')"
646,"('toxic', 'O')","('toxic', 'B')"
651,"('EMB', 'O')","('EMB', 'B')"
652,"('toxic', 'O')","('toxic', 'B')"
686,"('adrenal', 'O')","('adrenal', 'B')"
700,"('liver', 'B')","('liver', 'O')"
708,"('hepatitis', 'B')","('hepatitis', 'O')"
709,"('B', 'I')","('B', 'O')"
711,"('hematologic', 'B')","('hematologic', 'O')"
743,"('brainstem', 'O')","('brainstem', 'B')"
744,"('WKY', 'O')","('WKY', 'B')"
752,"('malignant', 'O')","('malignant', 'B')"
769,"('complete', 'O')","('complete', 'B')"
785,"('drug', 'O')","('drug', 'B')"
786,"('propylthiouracil', 'O')","('propylthiouracil', 'B')"
829,"('ribavirin', 'O')","('ribavirin', 'B')"
834,"('alcohol', 'O')","('alcohol', 'B')"
841,"('Amphetamine', 'O')","('Amphetamine', 'B')"
844,"('Ethambutol', 'O')","('Ethambutol', 'B')"
845,"('toxic', 'O')","('toxic', 'B')"
849,"('loss', 'B')","('loss', 'O')"
850,"('visual', 'B')","('visual', 'O')"
851,"('chiasmopathy', 'O')","('chiasmopathy', 'B')"
855,"('fever', 'B')","('fever', 'O')"
857,"('convulsions', 'B')","('convulsions', 'O')"
858,"('seizures', 'B')","('seizures', 'O')"
862,"('convulsions', 'B')","('convulsions', 'O')"
863,"('convulsive', 'B')","('convulsive', 'O')"
864,"('convulsions', 'B')","('convulsions', 'O')"
867,"('seizures', 'B')","('seizures', 'O')"
872,"('toxicity', 'B')","('toxicity', 'O')"
881,"('MA', 'O')","('MA', 'B')"
888,"('decompensated', 'O')","('decompensated', 'B')"
890,"('decompensated', 'O')","('decompensated', 'B')"
897,"('HBV', 'O')","('HBV', 'B')"
899,"('Digitalis', 'O')","('Digitalis', 'B')"
900,"('arrhythmia', 'B')","('arrhythmia', 'O')"
909,"('peritumoral', 'O')","('peritumoral', 'B')"
915,"('seizure', 'B')","('seizure', 'O')"
919,"('ischemic', 'B')","('ischemic', 'O')"
920,"('injury', 'I')","('injury', 'O')"
921,"('ischemic', 'B')","('ischemic', 'O')"
931,"('convulsive', 'B')","('convulsive', 'O')"
935,"('convulsions', 'B')","('convulsions', 'O')"
939,"('anxiety', 'B')","('anxiety', 'O')"
941,"('Angiotensin', 'O')","('Angiotensin', 'B')"
949,"('carbamazepine', 'O')","('carbamazepine', 'B')"
950,"('neurologic', 'O')","('neurologic', 'B')"
