Sentence,Gold,Pred
"Individuals who have rare alleles of the VNTR have an increased risk of certain types of cancers , including breast cancer ( 2 - 4 ) .","('cancers', 'B')","('cancers', 'O')"
Type II complement protein C2 deficiency is characterized by a selective block in C2 secretion .,"('Type', 'B')","('Type', 'O')"
Type II complement protein C2 deficiency is characterized by a selective block in C2 secretion .,"('protein', 'I')","('protein', 'O')"
Type II complement protein C2 deficiency is characterized by a selective block in C2 secretion .,"('C2', 'I')","('C2', 'B')"
The Type II C2 null allele ( C2Q0 ) is linked to two major histocompatibility haplotypes ( MHC ) that differ from the MHC of the more common Type I C2 deficiency .,"('Type', 'O')","('Type', 'B')"
The Type II C2 null allele ( C2Q0 ) is linked to two major histocompatibility haplotypes ( MHC ) that differ from the MHC of the more common Type I C2 deficiency .,"('II', 'O')","('II', 'I')"
The Type II C2 null allele ( C2Q0 ) is linked to two major histocompatibility haplotypes ( MHC ) that differ from the MHC of the more common Type I C2 deficiency .,"('C2', 'O')","('C2', 'I')"
"Thus , WASP provides a novel link between CDC42Hs and the actin cytoskeleton , which suggests a molecular mechanism for many of the cellular abnormalities in WAS .","('cellular', 'O')","('cellular', 'B')"
"Thus , WASP provides a novel link between CDC42Hs and the actin cytoskeleton , which suggests a molecular mechanism for many of the cellular abnormalities in WAS .","('abnormalities', 'O')","('abnormalities', 'I')"
X - linked adrenoleukodystrophy is a frequent cause of idiopathic Addison ' s disease in young adult male patients .,"('idiopathic', 'O')","('idiopathic', 'B')"
X - linked adrenoleukodystrophy is a frequent cause of idiopathic Addison ' s disease in young adult male patients .,"('Addison', 'B')","('Addison', 'I')"
"To evaluate this prevalence , we performed biochemical analysis of very long chain fatty acids in 14 male patients ( age ranging from 12 - 45 yr at diagnosis ) previously diagnosed as having primary idiopathic adrenocortical insufficiency .","('primary', 'O')","('primary', 'B')"
"To evaluate this prevalence , we performed biochemical analysis of very long chain fatty acids in 14 male patients ( age ranging from 12 - 45 yr at diagnosis ) previously diagnosed as having primary idiopathic adrenocortical insufficiency .","('idiopathic', 'O')","('idiopathic', 'B')"
"To evaluate this prevalence , we performed biochemical analysis of very long chain fatty acids in 14 male patients ( age ranging from 12 - 45 yr at diagnosis ) previously diagnosed as having primary idiopathic adrenocortical insufficiency .","('adrenocortical', 'B')","('adrenocortical', 'I')"
"By electrophysiological tests and magnetic resonance imaging it was determined that two patients had cerebral ALD , one had adrenomyeloneuropathy with cerebral involvement , and two had preclinical AMN .","('involvement', 'O')","('involvement', 'I')"
Our data support the hypothesis that ALD is a frequent cause of idiopathic Addisons disease in children and adults . .,"('idiopathic', 'O')","('idiopathic', 'B')"
Our data support the hypothesis that ALD is a frequent cause of idiopathic Addisons disease in children and adults . .,"('Addisons', 'B')","('Addisons', 'I')"
Prostate cancer is the second leading cause of male cancer deaths in the United States .,"('male', 'O')","('male', 'B')"
Prostate cancer is the second leading cause of male cancer deaths in the United States .,"('cancer', 'B')","('cancer', 'I')"
"Prostate secretory epithelial cells and androgen - dependent prostate carcinomas undergo apoptosis in response to androgen deprivation and , furthermore , most prostate carcinomas become androgen independent and refractory to further therapeutic manipulations during disease progression .","('androgen', 'O')","('androgen', 'B')"
"Prostate secretory epithelial cells and androgen - dependent prostate carcinomas undergo apoptosis in response to androgen deprivation and , furthermore , most prostate carcinomas become androgen independent and refractory to further therapeutic manipulations during disease progression .","('-', 'O')","('-', 'I')"
"Prostate secretory epithelial cells and androgen - dependent prostate carcinomas undergo apoptosis in response to androgen deprivation and , furthermore , most prostate carcinomas become androgen independent and refractory to further therapeutic manipulations during disease progression .","('dependent', 'O')","('dependent', 'I')"
"Prostate secretory epithelial cells and androgen - dependent prostate carcinomas undergo apoptosis in response to androgen deprivation and , furthermore , most prostate carcinomas become androgen independent and refractory to further therapeutic manipulations during disease progression .","('prostate', 'B')","('prostate', 'I')"
Definition of the genetic events that trigger apoptosis in the prostate could provide important insights into critical pathways in normal development as well as elucidate the perturbations of those key pathways in neoplastic transformation .,"('neoplastic', 'O')","('neoplastic', 'B')"
Inherited mutant alleles of familial tumour suppressor genes predispose individuals to particular types of cancer .,"('familial', 'O')","('familial', 'B')"
Inherited mutant alleles of familial tumour suppressor genes predispose individuals to particular types of cancer .,"('tumour', 'B')","('tumour', 'I')"
We report details of a family with classic Li - Fraumeni syndrome in which there is a mutation in codon 344 of the tumour suppressor gene TP53 .,"('classic', 'O')","('classic', 'B')"
The mouse homolog of the Wiskott - Aldrich syndrome protein ( WASP ) gene is highly conserved and maps near the scurfy ( sf ) mutation on the X chromosome .,"('scurfy', 'O')","('scurfy', 'B')"
The mouse homolog of the Wiskott - Aldrich syndrome protein ( WASP ) gene is highly conserved and maps near the scurfy ( sf ) mutation on the X chromosome .,"('sf', 'O')","('sf', 'B')"
Myotonic dystrophy ( DM ) is commonly associated with CTG repeat expansions within the gene for DM - protein kinase ( DMPK ) .,"('DM', 'O')","('DM', 'B')"
"However , both models lack other frequent DM symptoms including the fibre - type dependent atrophy , myotonia , cataract and male - infertility .","('fibre', 'O')","('fibre', 'B')"
"However , both models lack other frequent DM symptoms including the fibre - type dependent atrophy , myotonia , cataract and male - infertility .","('-', 'O')","('-', 'I')"
"However , both models lack other frequent DM symptoms including the fibre - type dependent atrophy , myotonia , cataract and male - infertility .","('type', 'O')","('type', 'I')"
"However , both models lack other frequent DM symptoms including the fibre - type dependent atrophy , myotonia , cataract and male - infertility .","('dependent', 'O')","('dependent', 'I')"
"However , both models lack other frequent DM symptoms including the fibre - type dependent atrophy , myotonia , cataract and male - infertility .","('atrophy', 'B')","('atrophy', 'I')"
"Dmpk - / - mice develop a late - onset , progressive skeletal myopathy that shares some pathological features with DM .","('progressive', 'B')","('progressive', 'O')"
"Dmpk - / - mice develop a late - onset , progressive skeletal myopathy that shares some pathological features with DM .","('skeletal', 'I')","('skeletal', 'B')"
"We provide evidence that not only reduced , but also increased levels of transcriptional regulators can cause developmental defects . .","('developmental', 'B')","('developmental', 'O')"
"We provide evidence that not only reduced , but also increased levels of transcriptional regulators can cause developmental defects . .","('defects', 'I')","('defects', 'O')"
These results are significant not only in terms of their implications for furthering our understanding of galactosemia and GALT holoenzyme structure - function relationships but also because the system described may serve as a model for similar studies of other complexes composed of multiple subunits . .,"('GALT', 'O')","('GALT', 'B')"
"To begin to address the hypothesis that abnormal regulation of the breast / ovarian cancer susceptibility gene BRCA1 is a critical step in sporadic breast / ovarian tumorigenesis , we have determined the detailed structure of the BRCA1 genomic region .","('breast', 'O')","('breast', 'I')"
"To begin to address the hypothesis that abnormal regulation of the breast / ovarian cancer susceptibility gene BRCA1 is a critical step in sporadic breast / ovarian tumorigenesis , we have determined the detailed structure of the BRCA1 genomic region .","('/', 'O')","('/', 'I')"
"To begin to address the hypothesis that abnormal regulation of the breast / ovarian cancer susceptibility gene BRCA1 is a critical step in sporadic breast / ovarian tumorigenesis , we have determined the detailed structure of the BRCA1 genomic region .","('ovarian', 'O')","('ovarian', 'I')"
"To begin to address the hypothesis that abnormal regulation of the breast / ovarian cancer susceptibility gene BRCA1 is a critical step in sporadic breast / ovarian tumorigenesis , we have determined the detailed structure of the BRCA1 genomic region .","('tumorigenesis', 'O')","('tumorigenesis', 'I')"
The quantitative distribution of VHL mRNA within fetal tissues reflected that seen by in situ hybridization and the ratio of the two VHL isoforms was similar between tissues .,"('VHL', 'B')","('VHL', 'O')"
