Sentence,Tags
"BACKGROUND : Calcitriol therapy suppresses serum levels of parathyroid hormone ( PTH ) in patients with renal failure but has several drawbacks , including hypercalcemia and / or marked suppression of bone turnover , which may lead to adynamic bone disease .","(('BACKGROUND', 'O'), (':', 'O'), ('Calcitriol', 'O'), ('therapy', 'O'), ('suppresses', 'O'), ('serum', 'O'), ('levels', 'O'), ('of', 'O'), ('parathyroid', 'O'), ('hormone', 'O'), ('(', 'O'), ('PTH', 'O'), (')', 'O'), ('in', 'O'), ('patients', 'O'), ('with', 'O'), ('renal', 'B'), ('failure', 'I'), ('but', 'O'), ('has', 'O'), ('several', 'O'), ('drawbacks', 'O'), (',', 'O'), ('including', 'O'), ('hypercalcemia', 'B'), ('and', 'O'), ('/', 'O'), ('or', 'O'), ('marked', 'O'), ('suppression', 'B'), ('of', 'I'), ('bone', 'I'), ('turnover', 'I'), (',', 'O'), ('which', 'O'), ('may', 'O'), ('lead', 'O'), ('to', 'O'), ('adynamic', 'B'), ('bone', 'I'), ('disease', 'I'), ('.', 'O'))$$$"
This study was undertaken to determine the effects of OCT on serum PTH levels and bone turnover in states of normal or impaired renal function .,"(('This', 'O'), ('study', 'O'), ('was', 'O'), ('undertaken', 'O'), ('to', 'O'), ('determine', 'O'), ('the', 'O'), ('effects', 'O'), ('of', 'O'), ('OCT', 'O'), ('on', 'O'), ('serum', 'O'), ('PTH', 'O'), ('levels', 'O'), ('and', 'O'), ('bone', 'O'), ('turnover', 'O'), ('in', 'O'), ('states', 'O'), ('of', 'O'), ('normal', 'O'), ('or', 'O'), ('impaired', 'B'), ('renal', 'I'), ('function', 'I'), ('.', 'O'))$$$"
"In Nx dogs , OCT reversed abnormal bone formation , such as woven osteoid and fibrosis , but did not significantly alter the level of bone turnover .","(('In', 'O'), ('Nx', 'O'), ('dogs', 'O'), (',', 'O'), ('OCT', 'O'), ('reversed', 'O'), ('abnormal', 'O'), ('bone', 'O'), ('formation', 'O'), (',', 'O'), ('such', 'O'), ('as', 'O'), ('woven', 'B'), ('osteoid', 'I'), ('and', 'O'), ('fibrosis', 'B'), (',', 'O'), ('but', 'O'), ('did', 'O'), ('not', 'O'), ('significantly', 'O'), ('alter', 'O'), ('the', 'O'), ('level', 'O'), ('of', 'O'), ('bone', 'O'), ('turnover', 'O'), ('.', 'O'))$$$"
"CONCLUSIONS : These results indicate that even though OCT does not completely prevent the occurrence of hypercalcemia in experimental dogs with renal insufficiency , it may be of use in the management of secondary hyperparathyroidism because it does not induce low bone turnover and , therefore , does not increase the risk of adynamic bone disease .","(('CONCLUSIONS', 'O'), (':', 'O'), ('These', 'O'), ('results', 'O'), ('indicate', 'O'), ('that', 'O'), ('even', 'O'), ('though', 'O'), ('OCT', 'O'), ('does', 'O'), ('not', 'O'), ('completely', 'O'), ('prevent', 'O'), ('the', 'O'), ('occurrence', 'O'), ('of', 'O'), ('hypercalcemia', 'B'), ('in', 'O'), ('experimental', 'O'), ('dogs', 'O'), ('with', 'O'), ('renal', 'B'), ('insufficiency', 'I'), (',', 'O'), ('it', 'O'), ('may', 'O'), ('be', 'O'), ('of', 'O'), ('use', 'O'), ('in', 'O'), ('the', 'O'), ('management', 'O'), ('of', 'O'), ('secondary', 'B'), ('hyperparathyroidism', 'I'), ('because', 'O'), ('it', 'O'), ('does', 'O'), ('not', 'O'), ('induce', 'O'), ('low', 'B'), ('bone', 'I'), ('turnover', 'I'), ('and', 'O'), (',', 'O'), ('therefore', 'O'), (',', 'O'), ('does', 'O'), ('not', 'O'), ('increase', 'O'), ('the', 'O'), ('risk', 'O'), ('of', 'O'), ('adynamic', 'B'), ('bone', 'I'), ('disease', 'I'), ('.', 'O'))$$$"
There was a history of ischemic cardiac disease 9 years earlier .,"(('There', 'O'), ('was', 'O'), ('a', 'O'), ('history', 'O'), ('of', 'O'), ('ischemic', 'B'), ('cardiac', 'B'), ('disease', 'I'), ('9', 'O'), ('years', 'O'), ('earlier', 'O'), ('.', 'O'))$$$"
Systemic toxicity following administration of sirolimus ( formerly rapamycin ) for psoriasis : association of capillary leak syndrome with apoptosis of lesional lymphocytes .,"(('Systemic', 'O'), ('toxicity', 'B'), ('following', 'O'), ('administration', 'O'), ('of', 'O'), ('sirolimus', 'O'), ('(', 'O'), ('formerly', 'O'), ('rapamycin', 'O'), (')', 'O'), ('for', 'O'), ('psoriasis', 'B'), (':', 'O'), ('association', 'O'), ('of', 'O'), ('capillary', 'B'), ('leak', 'I'), ('syndrome', 'I'), ('with', 'O'), ('apoptosis', 'O'), ('of', 'O'), ('lesional', 'O'), ('lymphocytes', 'O'), ('.', 'O'))$$$"
OBSERVATIONS : A keratome skin specimen from 1 patient with sirolimus - induced capillary leak syndrome had a 2 . 3 - fold increase in percentage of apoptotic cells ( to 48 % ) compared with an unaffected sirolimus - treated patient with psoriasis ( 21 % ) .,"(('OBSERVATIONS', 'O'), (':', 'O'), ('A', 'O'), ('keratome', 'O'), ('skin', 'O'), ('specimen', 'O'), ('from', 'O'), ('1', 'O'), ('patient', 'O'), ('with', 'O'), ('sirolimus', 'O'), ('-', 'O'), ('induced', 'O'), ('capillary', 'B'), ('leak', 'I'), ('syndrome', 'I'), ('had', 'O'), ('a', 'O'), ('2', 'O'), ('.', 'O'), ('3', 'O'), ('-', 'O'), ('fold', 'O'), ('increase', 'O'), ('in', 'O'), ('percentage', 'O'), ('of', 'O'), ('apoptotic', 'O'), ('cells', 'O'), ('(', 'O'), ('to', 'O'), ('48', 'O'), ('%', 'O'), (')', 'O'), ('compared', 'O'), ('with', 'O'), ('an', 'O'), ('unaffected', 'O'), ('sirolimus', 'O'), ('-', 'O'), ('treated', 'O'), ('patient', 'O'), ('with', 'O'), ('psoriasis', 'B'), ('(', 'O'), ('21', 'O'), ('%', 'O'), (')', 'O'), ('.', 'O'))$$$"
"Because patients with severe psoriasis may develop capillary leak from various systemic therapies , clinical monitoring is advisable for patients with inflammatory diseases who are treated with immune modulators .","(('Because', 'O'), ('patients', 'O'), ('with', 'O'), ('severe', 'O'), ('psoriasis', 'B'), ('may', 'O'), ('develop', 'O'), ('capillary', 'B'), ('leak', 'I'), ('from', 'O'), ('various', 'O'), ('systemic', 'O'), ('therapies', 'O'), (',', 'O'), ('clinical', 'O'), ('monitoring', 'O'), ('is', 'O'), ('advisable', 'O'), ('for', 'O'), ('patients', 'O'), ('with', 'O'), ('inflammatory', 'B'), ('diseases', 'I'), ('who', 'O'), ('are', 'O'), ('treated', 'O'), ('with', 'O'), ('immune', 'O'), ('modulators', 'O'), ('.', 'O'))$$$"
Severe immune hemolytic anemia associated with prophylactic use of cefotetan in obstetric and gynecologic procedures .,"(('Severe', 'O'), ('immune', 'O'), ('hemolytic', 'B'), ('anemia', 'I'), ('associated', 'O'), ('with', 'O'), ('prophylactic', 'O'), ('use', 'O'), ('of', 'O'), ('cefotetan', 'O'), ('in', 'O'), ('obstetric', 'O'), ('and', 'O'), ('gynecologic', 'O'), ('procedures', 'O'), ('.', 'O'))$$$"
"Second - and third - generation cephalosporins , especially cefotetan , are increasingly associated with severe , sometimes fatal immune hemolytic anemia .","(('Second', 'O'), ('-', 'O'), ('and', 'O'), ('third', 'O'), ('-', 'O'), ('generation', 'O'), ('cephalosporins', 'O'), (',', 'O'), ('especially', 'O'), ('cefotetan', 'O'), (',', 'O'), ('are', 'O'), ('increasingly', 'O'), ('associated', 'O'), ('with', 'O'), ('severe', 'O'), (',', 'O'), ('sometimes', 'O'), ('fatal', 'O'), ('immune', 'O'), ('hemolytic', 'B'), ('anemia', 'I'), ('.', 'O'))$$$"
Eight of these cases of severe immune hemolytic anemia are described .,"(('Eight', 'O'), ('of', 'O'), ('these', 'O'), ('cases', 'O'), ('of', 'O'), ('severe', 'O'), ('immune', 'O'), ('hemolytic', 'B'), ('anemia', 'I'), ('are', 'O'), ('described', 'O'), ('.', 'O'))$$$"
"Patients with aneurysmal subarachnoid hemorrhage ( SAH ) were randomized to receive either ketoprofen , 100 mg , three times a day ( ketoprofen group , n = 9 ) or a weak NSAID , acetaminophen , 1 g , three times a day ( acetaminophen group , n = 9 ) starting immediately after the diagnosis of aneurysmal SAH .","(('Patients', 'O'), ('with', 'O'), ('aneurysmal', 'B'), ('subarachnoid', 'I'), ('hemorrhage', 'I'), ('(', 'O'), ('SAH', 'B'), (')', 'O'), ('were', 'O'), ('randomized', 'O'), ('to', 'O'), ('receive', 'O'), ('either', 'O'), ('ketoprofen', 'O'), (',', 'O'), ('100', 'O'), ('mg', 'O'), (',', 'O'), ('three', 'O'), ('times', 'O'), ('a', 'O'), ('day', 'O'), ('(', 'O'), ('ketoprofen', 'O'), ('group', 'O'), (',', 'O'), ('n', 'O'), ('=', 'O'), ('9', 'O'), (')', 'O'), ('or', 'O'), ('a', 'O'), ('weak', 'O'), ('NSAID', 'O'), (',', 'O'), ('acetaminophen', 'O'), (',', 'O'), ('1', 'O'), ('g', 'O'), (',', 'O'), ('three', 'O'), ('times', 'O'), ('a', 'O'), ('day', 'O'), ('(', 'O'), ('acetaminophen', 'O'), ('group', 'O'), (',', 'O'), ('n', 'O'), ('=', 'O'), ('9', 'O'), (')', 'O'), ('starting', 'O'), ('immediately', 'O'), ('after', 'O'), ('the', 'O'), ('diagnosis', 'O'), ('of', 'O'), ('aneurysmal', 'B'), ('SAH', 'B'), ('.', 'O'))$$$"
One patient in the ketoprofen group developed a postoperative intracranial hematoma .,"(('One', 'O'), ('patient', 'O'), ('in', 'O'), ('the', 'O'), ('ketoprofen', 'O'), ('group', 'O'), ('developed', 'O'), ('a', 'O'), ('postoperative', 'O'), ('intracranial', 'O'), ('hematoma', 'B'), ('.', 'O'))$$$"
"If ketoprofen is used before surgery on cerebral artery aneurysms , it may pose an additional risk factor for hemorrhage .","(('If', 'O'), ('ketoprofen', 'O'), ('is', 'O'), ('used', 'O'), ('before', 'O'), ('surgery', 'O'), ('on', 'O'), ('cerebral', 'O'), ('artery', 'B'), ('aneurysms', 'I'), (',', 'O'), ('it', 'O'), ('may', 'O'), ('pose', 'O'), ('an', 'O'), ('additional', 'O'), ('risk', 'O'), ('factor', 'O'), ('for', 'O'), ('hemorrhage', 'B'), ('.', 'O'))$$$"
The specific aim was to elucidate whether an aura and / or an attack of migraine without aura could be induced .,"(('The', 'O'), ('specific', 'O'), ('aim', 'O'), ('was', 'O'), ('to', 'O'), ('elucidate', 'O'), ('whether', 'O'), ('an', 'O'), ('aura', 'O'), ('and', 'O'), ('/', 'O'), ('or', 'O'), ('an', 'O'), ('attack', 'O'), ('of', 'O'), ('migraine', 'B'), ('without', 'I'), ('aura', 'I'), ('could', 'O'), ('be', 'O'), ('induced', 'O'), ('.', 'O'))$$$"
