Data,Sentence,Gold,Pred,FP,FN,Overlap
NCBI,29 ml / min / kg in OD vs . 1 . 28 + / - 0 . 33 ml / min / kg in TD ) .,"['-', '-']","['OD', 'TD']","['OD', 'TD']",[],[]
NCBI,"7 days later , the fever disappeared and the patient ' s serum CPK levels were normalized ( 175 IU / L ) .",['fever'],['-'],[],['fever'],[]
NCBI,A case is presented that is unique in that the acute onset and the rapid resolution of pyeloureteral filling defects in this patient were documented by radiography .,"['-', '-', '-']","['pyeloureteral', 'filling', 'defects']","['pyeloureteral', 'filling', 'defects']",[],[]
NCBI,"A case of acute inflammatory myopathy associated with the use of pravastatin , a new hydrophilic 3 - hydroxy - 3 methylglutaril coenzyme A reductase inhibitor , is reported .","['-', 'inflammatory']","['acute', 'inflammatory']",['acute'],[],['inflammatory']
NCBI,A case of lithium - induced diabetes insipidus is reported .,['-'],['lithium'],['lithium'],[],[]
NCBI,A dystonia - like syndrome after neuropeptide ( MSH / ACTH ) stimulation of the rat locus ceruleus .,"['-', '-', '-']","['-', 'like', 'syndrome']","['-', 'like', 'syndrome']",[],[]
NCBI,A further group of 25 patients under polychemotherapy with IF were treated by conventional prophylactic measures ( raised fluid intake and forced diuresis ) .,['-'],['IF'],['IF'],[],[]
NCBI,"A palpable venous cord was present in 23 % ( 14 of 62 ) of patients in the diazepam group , compared with 2 % ( 1 of 60 patients ) in the midazolam group ( p < 0 . 002 ) .",['-'],['cord'],['cord'],[],[]
NCBI,"A patient developed a severe cholinergic syndrome from the use of echothiophate iodide ophthalmic drops , presented with profound muscle weakness and was initially given the diagnosis of myasthenia gravis .","['-', '-']","['cholinergic', 'syndrome']","['cholinergic', 'syndrome']",[],[]
NCBI,A phase II study of thalidomide in advanced metastatic renal cell carcinoma .,"['-', '-', 'renal']","['advanced', 'metastatic', 'renal']","['advanced', 'metastatic']",[],['renal']
NCBI,"A rare cause , drug - induced vasculitis , may result from the production of antineutrophil cytoplasmic antibodies ( ANCAs ) in response to a medication .",['vasculitis'],['vasculitis'],[],[],['vasculitis']
NCBI,"A technique of continuous intravenous anaesthesia with ketamine was used successfully during the Somalia civil war in 1994 and in north Uganda in 1999 for 64 operations in 62 patients , aged from 6 weeks to 70 years , undergoing limb and abdominal surgery including caesarian sections and interventions in neonates .","['-', '-', '-', '-']","['limb', 'and', 'abdominal', 'surgery']","['limb', 'and', 'abdominal', 'surgery']",[],[]
NCBI,AMN082 ( 2 . 5 and 5 mg / kg ) reduces apomorphine - induced rotations in unilateral 6 - hydroxydopamine ( 6 - OHDA ) - lesioned rats .,['-'],['hydroxydopamine'],['hydroxydopamine'],[],[]
NCBI,AUTHORS ' CONCLUSIONS : HT is not indicated for the routine management of chronic disease .,['-'],['chronic'],['chronic'],[],[]
NCBI,"Abdominal ultrasound showed an adrenal mass , and postoperative histologic examination confirmed the diagnosis of pheochromocytoma .",['-'],['adrenal'],['adrenal'],[],[]
NCBI,Activation of the nuclear enzyme poly ( ADP - ribose ) polymerase ( PARP ) by oxidant - mediated DNA damage is an important pathway of cell dysfunction and tissue injury in conditions associated with oxidative stress .,"['-', '-', '-']","['dysfunction', 'tissue', 'injury']","['dysfunction', 'tissue', 'injury']",[],[]
