Sentence,Gold,Pred,stanza_Pred
This study was undertaken to determine the effects of OCT on serum PTH levels and bone turnover in states of normal or impaired renal function .,"('impaired', 'B')","('impaired', 'O')","[[('impaired', 'ADJ')]]"
This study was undertaken to determine the effects of OCT on serum PTH levels and bone turnover in states of normal or impaired renal function .,"('renal', 'I')","('renal', 'O')","[[('renal', 'NOUN')]]"
"Fourteen weeks after the start of phosphate supplementation , half of the Nx and Sham dogs received doses of OCT ( three times per week ) ; the other half were given vehicle for 60 weeks .","('Nx', 'O')","('Nx', 'B')","[[('Nx', 'PROPN')]]"
"RESULTS : In Nx dogs , OCT significantly decreased serum PTH levels soon after the induction of renal insufficiency .","('Nx', 'O')","('Nx', 'B')","[[('Nx', 'PROPN')]]"
"Serum PTH levels rose thereafter , but the rise was less pronounced compared with baseline than the rise seen in Nx control .","('Nx', 'O')","('Nx', 'B')","[[('Nx', 'PROPN')]]"
"In addition , OCT improved mineralization lag time , ( that is , the rate at which osteoid mineralizes ) in both Nx and Sham dogs .","('Nx', 'O')","('Nx', 'B')","[[('Nx', 'PROPN')]]"
There was a history of ischemic cardiac disease 9 years earlier .,"('cardiac', 'B')","('cardiac', 'I')","[[('cardiac', 'ADJ')]]"
SETTING : Affective Disorders Clinic at St .,"('Affective', 'O')","('Affective', 'B')","[[('Affective', 'ADJ')]]"
SETTING : Affective Disorders Clinic at St .,"('Disorders', 'O')","('Disorders', 'I')","[[('Disorders', 'NOUN')]]"
The control group consisted of 82 patients with no psychiatric or endocrinological diagnoses from the hospital ' s out - patient clinics .,"('psychiatric', 'B')","('psychiatric', 'O')","[[('psychiatric', 'ADJ')]]"
Severe immune hemolytic anemia associated with prophylactic use of cefotetan in obstetric and gynecologic procedures .,"('immune', 'O')","('immune', 'B')","[[('immune', 'NOUN')]]"
Severe immune hemolytic anemia associated with prophylactic use of cefotetan in obstetric and gynecologic procedures .,"('hemolytic', 'B')","('hemolytic', 'I')","[[('hemolytic', 'ADJ')]]"
"Second - and third - generation cephalosporins , especially cefotetan , are increasingly associated with severe , sometimes fatal immune hemolytic anemia .","('immune', 'O')","('immune', 'B')","[[('immune', 'NOUN')]]"
"Second - and third - generation cephalosporins , especially cefotetan , are increasingly associated with severe , sometimes fatal immune hemolytic anemia .","('hemolytic', 'B')","('hemolytic', 'I')","[[('hemolytic', 'ADJ')]]"
Eight of these cases of severe immune hemolytic anemia are described .,"('immune', 'O')","('immune', 'B')","[[('immune', 'NOUN')]]"
Eight of these cases of severe immune hemolytic anemia are described .,"('hemolytic', 'B')","('hemolytic', 'I')","[[('hemolytic', 'ADJ')]]"
Their safety in patients undergoing intracranial surgery is under debate .,"('surgery', 'O')","('surgery', 'I')","[[('surgery', 'NOUN')]]"
RESULTS : Patients randomly assigned to enalapril had a 33 % greater likelihood of decreased renal function than controls ( P = . 003 ) .,"('decreased', 'B')","('decreased', 'O')","[[('decreased', 'VERB')]]"
RESULTS : Patients randomly assigned to enalapril had a 33 % greater likelihood of decreased renal function than controls ( P = . 003 ) .,"('renal', 'I')","('renal', 'O')","[[('renal', 'NOUN')]]"
RESULTS : Patients randomly assigned to enalapril had a 33 % greater likelihood of decreased renal function than controls ( P = . 003 ) .,"('function', 'I')","('function', 'O')","[[('function', 'NOUN')]]"
"By multivariate analysis , in both the placebo and enalapril groups older age , diuretic therapy , and diabetes were associated with decreased renal function , whereas beta - blocker therapy and higher ejection fraction were renoprotective .","('diabetes', 'B')","('diabetes', 'O')","[[('diabetes', 'NOUN')]]"
"By multivariate analysis , in both the placebo and enalapril groups older age , diuretic therapy , and diabetes were associated with decreased renal function , whereas beta - blocker therapy and higher ejection fraction were renoprotective .","('decreased', 'B')","('decreased', 'O')","[[('decreased', 'VERB')]]"
"By multivariate analysis , in both the placebo and enalapril groups older age , diuretic therapy , and diabetes were associated with decreased renal function , whereas beta - blocker therapy and higher ejection fraction were renoprotective .","('renal', 'I')","('renal', 'O')","[[('renal', 'NOUN')]]"
"By multivariate analysis , in both the placebo and enalapril groups older age , diuretic therapy , and diabetes were associated with decreased renal function , whereas beta - blocker therapy and higher ejection fraction were renoprotective .","('function', 'I')","('function', 'O')","[[('function', 'NOUN')]]"
"Older age was associated with a greater risk of developing decreased renal function in both groups , but significantly more so in the enalapril group ( enalapril : risk ratio [ RR ] 1 . 42 per 10 years , 95 % confidence interval [ CI ] 1 . 32 - 1 . 52 with enalapril ; placebo : RR 1 . 18 , 95 % CI 1 . 12 - 1 . 25 ) .","('decreased', 'B')","('decreased', 'O')","[[('decreased', 'VERB')]]"
"Older age was associated with a greater risk of developing decreased renal function in both groups , but significantly more so in the enalapril group ( enalapril : risk ratio [ RR ] 1 . 42 per 10 years , 95 % confidence interval [ CI ] 1 . 32 - 1 . 52 with enalapril ; placebo : RR 1 . 18 , 95 % CI 1 . 12 - 1 . 25 ) .","('renal', 'I')","('renal', 'O')","[[('renal', 'NOUN')]]"
